,binned_slope_1,binned_slope_11,binned_slope_0,binned_slope_7,binned_slope_5,binned_slope_2,binned_slope_8,binned_slope_3,binned_slope_4,binned_slope_6,binned_slope_10,binned_slope_9,interaction_rate_bin_11,interaction_rate_bin_5,interaction_rate_bin_8,interaction_rate_bin_4,interaction_rate_bin_2,interaction_rate_bin_10,interaction_rate_bin_6,interaction_rate_bin_3,interaction_rate_bin_1,interaction_rate_bin_7,interaction_rate_bin_0,interaction_rate_bin_9,binned_auc_10,binned_auc_3,binned_auc_5,binned_auc_8,binned_auc_4,binned_auc_7,binned_auc_9,binned_auc_2,binned_auc_6,binned_auc_1,binned_auc_0,binned_auc_11
FPCA1,1.0170798170420892e-06,-2.568046111279842e-07,2.644675867282327e-06,-4.1109562018657924e-07,-4.0381033911266165e-07,3.5688540429465065e-07,-3.102261755896405e-07,-7.486299410894397e-08,-3.3695681166763237e-07,-3.7356124292337616e-07,-2.4086902399223183e-07,-2.706098441631366e-07,-2.5068724201619907e-08,-3.197587340590131e-08,-2.844600817608392e-08,-3.6655576932112554e-08,-4.488934917152016e-08,-2.559032756358613e-08,-3.164986212255434e-08,-4.114565980270604e-08,-4.6142923311330385e-08,-2.986762800323985e-08,-4.832412068463744e-08,-2.9316884641723953e-08,0.1737692655492706,0.3910785142316828,0.3357207695964203,0.23052571863522026,0.37216535649966415,0.2642268999994552,0.20029454155064302,0.37870660445660614,0.301469281786041,0.31747736824477457,0.1739805284343486,0.15263235213517412
FPCA2,1.3216000744625763e-07,3.500635826504371e-07,3.573192514583095e-06,-3.7561652628520904e-07,-1.4326771406892753e-06,-1.5019657959800028e-06,1.688912511710312e-07,-1.978668817117422e-06,-2.052030232278313e-06,-8.482899702638215e-07,4.4159872142109407e-07,4.3047099542317716e-07,6.074088571619543e-09,1.7858292655780088e-08,1.2341132757444835e-08,1.2625094981323146e-08,-1.9808031354899702e-08,7.548093881058478e-09,1.8486702551344144e-08,5.239118091098513e-10,-4.271481254013573e-08,1.6584775839963055e-08,-6.128271581348803e-08,6.506745473399544e-09,-0.29500651368841485,0.15571271936620218,-0.19178642194482962,-0.3603286069162633,-0.026332185815271643,-0.3529266621289958,-0.33402791118379155,0.31684977143861515,-0.2927859191258334,0.3866015106251297,0.2542360116916901,-0.2621034511454635
FPCA3,-3.970596290497557e-06,-2.854184748811237e-07,5.098799321068311e-06,1.6142607546960532e-06,2.073710795909151e-06,-5.5596767371615174e-06,7.777366981664508e-07,-1.834809861650119e-06,1.15803246692029e-06,1.986878187375023e-06,-1.3705310322668392e-07,2.8012082955473886e-07,-1.2479461301346948e-08,-1.9616985550788026e-08,-2.5289676022293165e-08,4.584672249305548e-09,4.995276402138724e-08,-1.567429293274368e-08,-2.6822069263031228e-08,4.011475671106313e-08,6.905203456563534e-11,-3.242479361661375e-08,-7.909915998059858e-08,-3.1444148812783826e-08,0.23620610826378025,-0.40533475514686423,-0.26630883179968984,0.2064433111720411,-0.42218505102475506,0.10256972285234427,0.23794927921266232,-0.06176382639476854,-0.07799458489391271,0.42933850228265086,0.4583616319007033,0.21569411320238718
FPCA4,-6.287546478882478e-06,5.187837754302319e-07,2.6443922151040206e-06,-3.825422181203285e-06,7.26980104791674e-07,-1.4671180755292987e-06,-2.5208089712052468e-06,4.520093375344934e-06,4.410049393193565e-06,-2.1940040305451145e-06,-3.389984736447135e-08,-1.1929241115880994e-06,-1.0033573118462536e-08,-5.8094348714736224e-08,2.6677033746524936e-08,-8.208244469562218e-08,2.4065652399537176e-08,5.003518922326659e-09,-1.564814761164657e-08,-4.624302004109131e-08,3.779002896650421e-08,1.2639718698690297e-08,-6.27982984302473e-08,1.7380188931791082e-08,-0.3767704990586407,-0.1705288375503732,0.5127424726539923,-0.15343125173053643,0.26552134299259084,0.13975059844953963,-0.3224925577791772,-0.3499505315913436,0.434046910363385,0.08619874876090262,0.40760044755876396,-0.35747304339813335
FPCA5,-7.729896059229464e-06,-3.950104660271187e-07,6.454791505174982e-07,2.057842375979486e-06,-4.214669358066164e-06,5.002375201047307e-06,3.5543628945446147e-06,5.262484554340797e-06,-2.9267973019401137e-06,-1.8485372028406036e-06,5.566595816914511e-07,2.648305384346071e-06,-2.9228589008452725e-08,4.75598967415756e-08,-4.412455972269947e-08,6.643979847223839e-10,-3.4168148140186335e-08,-3.000673612454012e-08,4.9599961497255044e-08,-8.905406437623849e-08,7.535742312291996e-08,1.0176309264555025e-09,-4.0963803353302685e-08,-5.330874324887144e-08,0.3643495935444472,0.2825353619249791,-0.014401072722817756,-0.029047008855571366,0.3513960132596406,-0.29912885641415676,0.23530767911337525,-0.32602569118788094,-0.29705959110284746,-0.19726985242800799,0.5107354843248556,0.36403227430436114
FPCA6,-2.7371214188419753e-06,3.940945455410128e-07,-1.967925999684855e-06,2.098720737279964e-06,1.8010949590697235e-06,6.737426464301281e-06,-3.2570801643034345e-06,-3.1879352796659405e-06,-6.092952615775948e-06,5.346558343291368e-06,-1.5413786943312851e-06,-3.68244420621697e-06,2.5373343067387485e-08,7.313371098828717e-09,2.5109279529095603e-08,6.767629111040463e-08,-6.544929461256504e-08,6.286706183320004e-08,-3.701527901078707e-08,7.636256322925455e-10,4.148535593962496e-08,-5.172697871451231e-08,-1.4693671422848658e-08,1.2621363133464514e-08,-0.3934244281905264,0.2692081112871801,-0.47288232294717925,0.2291943355389605,-0.2849828780024898,0.3103093327973426,-0.140116397103401,0.062080818361571186,-0.08756983429003401,-0.3392782316737055,0.39465036217385463,-0.42582851062988797
FPCA7,3.2398867928237383e-06,1.1769556273307076e-07,-4.160051782267619e-06,-4.512203847241786e-06,4.257750939856772e-06,2.2605942071173046e-06,1.653091206643088e-06,-8.036872090488009e-06,5.0517528408025795e-06,-2.521301877978976e-06,1.6324962328850562e-06,3.2806512243442146e-06,-4.170641856272805e-08,-6.855444910534237e-08,8.115566101728005e-09,-3.3591259820113975e-08,-4.989270617755533e-08,-4.93081507035022e-08,-9.554821193921848e-09,9.988480557250691e-08,-1.4047262253408456e-08,3.336585444188921e-08,1.6804784763632122e-09,-4.079631691029395e-08,0.22627407674089672,-0.21387254400785993,0.28611034598313784,-0.24168741094739477,-0.2979300516022518,-0.07692804855790894,0.004865040398242232,0.44593822534476124,0.32540078101599035,-0.4276532302983132,0.32500132083299543,0.29134342904307264
FPCA8,3.6110110676768876e-06,-5.029817989016479e-07,-1.587982532275844e-06,8.020253559802042e-06,-8.421190251578903e-06,-3.965631761994183e-06,2.1561966493024405e-06,1.5956796610430022e-06,6.636570689571003e-06,-4.207787283496198e-06,-3.194233671168029e-06,-5.519979426353765e-06,1.9949679579934475e-08,3.875250034704871e-08,-8.823243946312321e-08,-1.201337045313627e-07,-3.3671284736164842e-09,3.2961680484696424e-08,5.97770242441058e-08,2.3445183982966e-08,-3.320570598222086e-08,-8.458566640047488e-08,-1.8532810439142048e-08,3.197365573127775e-08,-0.2599085887337772,-0.34051515354356443,0.27152876429896255,0.41205040289293376,0.45963645976086515,-0.22067507389446792,0.13870935585581465,0.23879717855070817,-0.44319229011813277,-0.13322127653760973,0.07536720179389142,-0.41392031596271606
FPCA9,3.3450662717054405e-06,6.756840597266516e-07,-1.0211443200543479e-06,-9.623666581346804e-07,-8.772929391078393e-06,-4.800668237960201e-06,-6.580042264904707e-06,7.138841325840123e-06,-1.6504072584973512e-06,8.786210899053963e-06,4.166192210755676e-06,4.290084578679034e-06,-4.821509863339682e-08,1.0195831791607948e-07,5.3717239932242533e-08,-5.5329910811760475e-08,2.9106689479102724e-08,-4.8704690737487604e-08,-5.9256518932174176e-08,-1.2884241233162887e-08,-9.00324545769924e-09,-3.5753799064841916e-08,-4.238054971146741e-09,-3.346474941337806e-08,0.14412487273195426,-0.23228996976089,-0.38092903877351375,-0.26109402079656335,0.6508248887470375,0.4293135883721331,-0.2765868712362991,0.10996534862292705,-0.33467683814506555,-0.05490505711541315,0.029930908529969717,0.3532264188868768
FPCA10,1.4487128437651034e-06,-3.0322913052905876e-06,-7.25751400396581e-07,-8.353512412256817e-06,5.879447033976423e-06,-3.6072460473715186e-06,7.894503511107458e-06,6.149764570271781e-06,-7.5844514931954275e-06,4.434972326441502e-06,-7.1623451553340414e-06,2.661238299142855e-07,7.865527644620354e-08,3.3081237572786856e-08,-3.923476773093517e-08,2.702098382882556e-08,5.429257211972276e-09,9.851617913399727e-08,-5.95152361462593e-08,-2.5623115900838145e-08,-1.651150447270736e-08,1.4872693125871565e-07,1.9045347553170957e-08,-2.1465325430575443e-08,0.02893388353434379,-0.10125259846555727,-0.6327434535209303,-0.09754717595960542,0.3981283556063,-0.16705461006547456,0.4978246685830881,0.040444472105958244,0.6567967929483597,-0.01701457498833402,0.007660661451175883,-0.5088481529580261
