Nickname,Control,MannWhitney_any_dim_significant,MannWhitney_significant_dims,Permutation_stat,Permutation_pval,Mahalanobis_stat,Mahalanobis_pval,Permutation_FDR_significant,Permutation_FDR_pval,Mahalanobis_FDR_significant,Mahalanobis_FDR_pval
KC-α/βc-GaL4,Empty-Split,False,[],27126.275314223094,0.2677322677322677,1.0062810758678042,0.01998001998001998,False,0.633108068402186,False,0.24095904095904097
72D07-GAL4,Empty-Split,False,[],12072.488612604437,0.8111888111888111,0.3802686588831854,0.7512487512487512,False,0.8909778745844319,False,0.8251420710437104
KC-γmain-GaL4,Empty-Split,False,[],23474.32311345122,0.4195804195804196,0.7206574207959369,0.21078921078921078,False,0.7130743272475556,False,0.42370473563134115
LC26,Empty-Split,False,[],20728.564626538755,0.5104895104895105,0.3154913704938135,0.8361638361638362,False,0.7273705315663358,False,0.8987643372670111
20G07-GAL4,Empty-Split,False,[],36393.72220290878,0.21878121878121878,0.6632196330109379,0.28771228771228774,False,0.5944713181555287,False,0.4859678136989062
44H11-GAL4,Empty-Split,False,[],48051.40163305443,0.08891108891108891,0.9096618691166172,0.054945054945054944,False,0.4146940016505234,False,0.25099900099900097
KC-γd-GaL4,Empty-Split,False,[],18779.51113161458,0.6133866133866134,0.4063002790236218,0.6993006993006993,False,0.760343315221364,False,0.794121133104184
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,False,[],56979.05149868261,0.04595404595404595,0.9423857089088772,0.053946053946053944,False,0.37864992150706434,False,0.25099900099900097
LPLC2,Empty-Split,False,[],20331.23773231647,0.4885114885114885,0.5857319813945883,0.37962037962037964,False,0.7249441734735852,False,0.5529253355340312
R12B01-gal4 (R4d - distal (EB)),Empty-Split,False,[],18378.769193660966,0.5844155844155844,0.8048269105382557,0.1068931068931069,False,0.7510906814704283,False,0.3465405562179756
SS02255-GAL4 (P-F2N3 (target FSB)),Empty-Split,False,[],24501.612657552992,0.3906093906093906,0.5911846655619584,0.4095904095904096,False,0.6948007744467921,False,0.5638335174759015
R78A01 (ExR1 (EB)),Empty-Split,True,"['FPCA1', 'FPCA3']",50819.20239428567,0.011988011988011988,1.0083969687465295,0.005994005994005994,False,0.31032603759876487,False,0.17211360068502926
SS02239-gal4 (P-F3LC patch line),Empty-Split,False,[],49482.10867402111,0.052947052947052944,0.998841624959324,0.01998001998001998,False,0.37864992150706434,False,0.24095904095904097
Empty-Gal4,Empty-Split,True,['FPCA3'],41330.61968473039,0.13186813186813187,0.9985494178460786,0.022977022977022976,False,0.4720542615279457,False,0.24095904095904097
R59B10-gal4 (R4m - medial (EB)),Empty-Split,False,[],21459.051309814135,0.4835164835164835,0.41139981361228484,0.7452547452547452,False,0.7249441734735852,False,0.8230560648143066
SS00078-gal4 (PBG2‐9.s‐FBℓ3.b‐NO2D.b (PB)),Empty-Split,True,['FPCA1'],60065.114397283935,0.015984015984015984,1.0180924521363794,0.029970029970029972,False,0.31032603759876487,False,0.24095904095904097
R19G02 (E-PG),Empty-Split,False,[],25012.25416256913,0.31368631368631367,0.9507669843666074,0.027972027972027972,False,0.6433770311321332,False,0.24095904095904097
R80C07-gal4 (ER3d (EB)),Empty-Split,False,[],23659.130841673556,0.4255744255744256,0.6405277361331397,0.3036963036963037,False,0.7130743272475556,False,0.500352106909484
51987 (Dh44-GAL4 2M),Empty-Split,False,[],30002.669460585723,0.27472527472527475,0.6656931500863813,0.40559440559440557,False,0.6366247388974662,False,0.5622377622377621
51981 (Dsk-GAL4 3M),Empty-Split,False,[],33465.54808680051,0.23476523476523475,0.5151400704498823,0.5054945054945055,False,0.5973140783267366,False,0.6233398503337153
51988 (Dh31-GAL4 2M),Empty-Split,False,[],37433.38455277825,0.13386613386613386,0.6607941037239444,0.42157842157842157,False,0.4720542615279457,False,0.5638335174759015
51983 (Mip-GAL4 1M),Empty-Split,False,[],33933.7314602077,0.2897102897102897,0.8849765785352794,0.12487512487512488,False,0.6433770311321332,False,0.35023116418465255
51986 (Ms-GAL4 6Ma),Empty-Split,False,[],26768.99443955449,0.35864135864135865,0.7519806481031506,0.2727272727272727,False,0.693143395066472,False,0.47257053291536044
51984 (Mip-GAL4 2M),Empty-Split,False,[],50997.768333607324,0.004995004995004995,0.8922582214862592,0.03896103896103896,False,0.31032603759876487,False,0.25099900099900097
51985 (Ms-GAL4 1M),Empty-Split,False,[],8784.521438614462,0.945054945054945,0.30280081795748304,0.8911088911088911,False,0.9797790149548943,False,0.9138412607800364
MBON-13-GaL4 (MBON-α′2),Empty-Split,False,[],29586.386603863284,0.2057942057942058,0.775562447939385,0.15884115884115885,False,0.5944713181555287,False,0.35474525474525476
MBON-14-GaL4 (MBON-α3),Empty-Split,False,[],16755.154422639294,0.6133866133866134,0.6716493452232641,0.16383616383616384,False,0.760343315221364,False,0.36187987836339486
MBON-16-GaL4   MBON-17-Gal4 ,Empty-Split,False,[],32562.570248861797,0.14685314685314685,0.6625825632353198,0.2827172827172827,False,0.48389315602430355,False,0.485693793386101
MBON-01-GaL4 (MBON-γ5β′2a),Empty-Split,False,[],22663.868696878097,0.38161838161838163,0.624466322672316,0.3916083916083916,False,0.6948007744467921,False,0.5622377622377621
MBON-12-GaL4 (MBON-γ2α′1),Empty-Split,False,[],6208.474244646105,0.967032967032967,0.19168584733166183,0.9530469530469531,False,0.9797790149548943,False,0.9674870583961493
MBON-10-GaL4 (MBON-β′1),Empty-Split,False,[],11246.655145203997,0.7862137862137862,0.46848925823289733,0.4835164835164835,False,0.877938727938728,False,0.6036448024025663
MBON-03-GaL4 (MBON-β′2mp),Empty-Split,False,[],23945.19352099339,0.2987012987012987,0.5731284127590028,0.3096903096903097,False,0.6433770311321332,False,0.503617350391544
MBON-04-GaL4 (MBON-β′2mp_bilateral),Empty-Split,False,[],42343.33553657059,0.053946053946053944,0.9270314413841098,0.03596403596403597,False,0.37864992150706434,False,0.25099900099900097
MB013B (SIFamide),Empty-Split,False,[],41349.39809875577,0.11688311688311688,0.9520505558273487,0.03396603396603397,False,0.4698701298701298,False,0.25099900099900097
R15B07-gal4 (R1/R3/R4d (EB)),Empty-Split,False,[],22050.234401824786,0.4435564435564436,0.7644106022975138,0.14885114885114886,False,0.7130743272475556,False,0.35023116418465255
MB025B (PAM-13-14),Empty-Split,False,[],27585.37177020455,0.3336663336663337,0.7173798068790664,0.22377622377622378,False,0.666017151165666,False,0.42370473563134115
R31A12-Gal4 (ER1 (EB)),Empty-Split,False,[],35370.82933301531,0.14485514485514486,0.9137302752933067,0.05194805194805195,False,0.48389315602430355,False,0.25099900099900097
R14G09 (ExR4 (EB)),Empty-Split,False,[],54015.09232952089,0.03496503496503497,0.7961793707616925,0.11588411588411589,False,0.37864992150706434,False,0.35023116418465255
MB022B (OA-VPM3),Empty-Split,False,[],9673.088506807813,0.8941058941058941,0.43804877421427246,0.6523476523476524,False,0.9490404332509595,False,0.7492678749821606
R28E01-gal4 (ER3m (EB)),Empty-Split,False,[],25929.424564588855,0.34865134865134867,0.6310780487182681,0.2857142857142857,False,0.6803778745526319,False,0.4859678136989062
MB058B (PPL1-05),Empty-Split,False,[],24374.57109714358,0.3306693306693307,0.5689678212499082,0.4225774225774226,False,0.666017151165666,False,0.5638335174759015
MB043B (PAM-11),Empty-Split,False,[],45031.75715294339,0.08791208791208792,0.9098320339381016,0.054945054945054944,False,0.4146940016505234,False,0.25099900099900097
MB304B (PPL1-04),Empty-Split,False,[],15733.670539902085,0.7022977022977023,0.625738080230167,0.3246753246753247,False,0.8230432358339336,False,0.5105592082336269
MB296B (PPL1-03),Empty-Split,False,[],20331.364738236734,0.45054945054945056,0.6762435674782941,0.24175824175824176,False,0.7130743272475556,False,0.4377784377784377
MB312B (PAM-07),Empty-Split,True,['FPCA1'],58534.060487288894,0.015984015984015984,1.0438013059795226,0.008991008991008992,False,0.31032603759876487,False,0.2007992007992008
MB056B (PAM-05),Empty-Split,False,[],13776.493828260845,0.7612387612387612,0.5341594133812981,0.46853146853146854,False,0.8644575763219831,False,0.5960431973090201
MB315C (PAM-01),Empty-Split,False,[],48078.15954980308,0.06493506493506493,0.7948388110135701,0.13486513486513488,False,0.37864992150706434,False,0.35023116418465255
TNTxPR,Empty-Split,False,[],33070.31373237948,0.13086913086913088,0.7752463608250735,0.14285714285714285,False,0.4720542615279457,False,0.35023116418465255
MB504B (All PPL1),Empty-Split,True,['FPCA1'],67218.77891236346,0.013986013986013986,1.069612331415258,0.016983016983016984,False,0.31032603759876487,False,0.24095904095904097
MB465C (MB-CSD),Empty-Split,False,[],6127.660118510259,0.97002997002997,0.1969369319149733,0.962037962037962,False,0.9797790149548943,False,0.9717066852745244
MB380B (MB-C1),Empty-Split,False,[],7297.91960351954,0.9470529470529471,0.3513535717948637,0.7692307692307693,False,0.9797790149548943,False,0.8403010033444817
SS54295-gal4 (PBG2‐9.s‐EBt.b‐NO1.b (PB)),Empty-Split,False,[],29711.467451997563,0.2777222777222777,0.602225982949811,0.3436563436563437,False,0.6366247388974662,False,0.5248160929979111
MB063B (PAM-10),Empty-Split,False,[],51162.05972549889,0.04695304695304695,0.9376848076908331,0.05094905094905095,False,0.37864992150706434,False,0.25099900099900097
41744 (IR8a mutant),Empty-Split,False,[],33908.05756780703,0.2647352647352647,0.5682752145791785,0.45454545454545453,False,0.633108068402186,False,0.5856643356643356
51306 (OR47b mutant),Empty-Split,False,[],34060.16035372253,0.2017982017982018,0.9259371548661812,0.0969030969030969,False,0.5944713181555287,False,0.3465405562179756
c316 (MB-DPM),Empty-Split,True,"['FPCA1', 'FPCA2', 'FPCA3']",44597.11126526806,0.06793206793206794,1.0363451961184174,0.005994005994005994,False,0.3792873792873793,False,0.17211360068502926
86666 (LH1139),Empty-Split,False,[],57776.325663666306,0.04595404595404595,0.8013112374747483,0.1028971028971029,False,0.37864992150706434,False,0.3465405562179756
86670 (LH1594),Empty-Split,False,[],22222.46632288246,0.43756243756243757,0.7078614624057986,0.21978021978021978,False,0.7130743272475556,False,0.42370473563134115
86674 (LH247),Empty-Split,False,[],28666.412355211512,0.23376623376623376,0.6360853266299418,0.3276723276723277,False,0.5973140783267366,False,0.5105592082336269
86667 (LH1000),Empty-Split,False,[],30525.228287898666,0.22077922077922077,0.8593520442723354,0.07592407592407592,False,0.5944713181555287,False,0.3114436583824339
86671 (LH412),Empty-Split,True,"['FPCA1', 'FPCA3']",77263.37235379443,0.023976023976023976,1.3986664609669457,0.025974025974025976,False,0.37864992150706434,False,0.24095904095904097
86675 (LH542),Empty-Split,False,[],13054.36823977983,0.8111888111888111,0.39181598398128986,0.7392607392607392,False,0.8909778745844319,False,0.8209470087923126
