Nickname,Control,MannWhitney_any_dim_significant,MannWhitney_significant_dims,Permutation_stat,Permutation_pval,Mahalanobis_stat,Mahalanobis_pval,Permutation_FDR_significant,Permutation_FDR_pval,Mahalanobis_FDR_significant,Mahalanobis_FDR_pval
KC-α/βc-GaL4,Empty-Split,False,[],27143.06017611099,0.2647352647352647,1.0071696959118903,0.013986013986013986,False,0.6236586942469295,False,0.1258741258741259
72D07-GAL4,Empty-Gal4,False,[],31690.979185080792,0.2177822177822178,0.7459485226476525,0.1888111888111888,False,0.574945054945055,False,0.3429781227946365
KC-γmain-GaL4,Empty-Split,False,[],23478.749940186637,0.4065934065934066,0.7207826264833538,0.21478521478521478,False,0.6940128836680561,False,0.36348267117497884
LC26,Empty-Split,False,[],20721.99756107171,0.5084915084915085,0.3156930801500169,0.8511488511488512,False,0.7037452343574792,False,0.8964227262099603
20G07-GAL4,Empty-Gal4,False,[],12079.29149235193,0.8171828171828172,0.509859029657881,0.4955044955044955,False,0.8852459016393444,False,0.5982310372554275
44H11-GAL4,Empty-Gal4,False,[],11369.640131801394,0.8481518481518482,0.4087729657383088,0.6933066933066933,False,0.9077517077517078,False,0.7755634196312162
KC-γd-GaL4,Empty-Split,False,[],18779.67438932989,0.6243756243756243,0.40668905118754406,0.6853146853146853,False,0.771551429936523,False,0.7753846153846153
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,False,[],56960.342392951345,0.04095904095904096,0.9425533652045989,0.03396603396603397,False,0.3003663003663004,False,0.16813186813186815
LPLC2,Empty-Split,False,[],20338.399633513247,0.4965034965034965,0.5861283556715469,0.4145854145854146,False,0.7037452343574792,False,0.54362855687359
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,False,[],27160.50469347118,0.35664335664335667,0.42488529364222066,0.6753246753246753,False,0.6913474874639922,False,0.768472906403941
SS02255-GAL4 (P-F2N3 (target FSB)),Empty-Split,False,[],24503.09431254183,0.3966033966033966,0.5912987245469828,0.4225774225774226,False,0.6940128836680561,False,0.5458826887398316
R78A01 (ExR1 (EB)),Empty-Gal4,True,['FPCA1'],83800.81757183858,0.000999000999000999,1.165159087857984,0.002997002997002997,False,0.07912087912087912,True,0.04945054945054945
SS02239-gal4 (P-F3LC patch line),Empty-Split,False,[],49482.27676203244,0.03896103896103896,0.9992006903324935,0.02197802197802198,False,0.29670329670329665,False,0.14505494505494507
R59B10-gal4 (R4m - medial (EB)),Empty-Gal4,False,[],59433.47286181379,0.01998001998001998,1.0516712156492245,0.01098901098901099,False,0.23736263736263738,False,0.11451706188548295
SS00078-gal4 (PBG2‐9.s‐FBℓ3.b‐NO2D.b (PB)),Empty-Split,True,['FPCA1'],60058.6688979712,0.011988011988011988,1.0184203360018589,0.026973026973026972,False,0.18258664412510564,False,0.16183816183816185
R19G02 (E-PG),Empty-Split,False,[],25020.13981907093,0.34265734265734266,0.951196055843394,0.03296703296703297,False,0.6853146853146853,False,0.16813186813186815
R80C07-gal4 (ER3d (EB)),Empty-Gal4,False,[],24858.252804968826,0.40559440559440557,0.8364187640691962,0.08391608391608392,False,0.6940128836680561,False,0.23076923076923078
51987 (Dh44-GAL4 2M),Empty-Gal4,True,['FPCA3'],68126.24075264431,0.005994005994005994,1.4396084929850168,0.000999000999000999,False,0.13186813186813187,True,0.04395604395604395
51981 (Dsk-GAL4 3M),Empty-Gal4,False,[],13587.07964585199,0.7672327672327672,0.857310700247563,0.07992007992007992,False,0.8486708821904352,False,0.23076923076923078
51988 (Dh31-GAL4 2M),Empty-Gal4,True,"['FPCA1', 'FPCA3']",75360.84917558922,0.005994005994005994,1.3287405767111178,0.001998001998001998,False,0.13186813186813187,True,0.04395604395604395
51983 (Mip-GAL4 1M),Empty-Gal4,False,[],19028.2424631535,0.6273726273726273,0.5417440913579358,0.5584415584415584,False,0.771551429936523,False,0.6504201680672269
51986 (Ms-GAL4 6Ma),Empty-Gal4,False,[],61344.00532897714,0.030969030969030968,1.1104463745497746,0.01998001998001998,False,0.26373626373626374,False,0.141287284144427
51984 (Mip-GAL4 2M),Empty-Gal4,True,['FPCA1'],87695.0578637611,0.001998001998001998,1.3645014760715668,0.000999000999000999,False,0.07912087912087912,True,0.04395604395604395
51985 (Ms-GAL4 1M),Empty-Gal4,False,[],46206.48462294207,0.0919080919080919,0.9314491293881629,0.0919080919080919,False,0.38718728080430204,False,0.2420474262579526
MBON-13-GaL4 (MBON-α′2),Empty-Split,False,[],29591.109641847004,0.19480519480519481,0.7758843264212464,0.11388611388611389,False,0.5631868131868132,False,0.2684458398744113
MBON-14-GaL4 (MBON-α3),Empty-Split,False,[],16757.470669544156,0.5634365634365635,0.6718326313241372,0.15884115884115885,False,0.724418438704153,False,0.3111063693587965
MBON-16-GaL4   MBON-17-Gal4 ,Empty-Split,False,[],32574.968772620432,0.12887112887112886,0.6634144800053081,0.2787212787212787,False,0.4725274725274725,False,0.4326923076923077
MBON-01-GaL4 (MBON-γ5β′2a),Empty-Split,False,[],22652.515772055307,0.3646353646353646,0.6244294697750822,0.3336663336663337,False,0.6913657770800629,False,0.48937728937728947
MBON-12-GaL4 (MBON-γ2α′1),Empty-Split,False,[],6207.591314624252,0.9590409590409591,0.19166566814318217,0.958041958041958,False,0.9789702683103698,False,0.9678178963893249
MBON-10-GaL4 (MBON-β′1),Empty-Split,False,[],11258.97499713607,0.8181818181818182,0.4688541017305926,0.47952047952047955,False,0.8852459016393444,False,0.5860805860805861
MBON-03-GaL4 (MBON-β′2mp),Empty-Split,False,[],23953.844805246226,0.28771228771228774,0.5735506021595155,0.3066933066933067,False,0.6364070711896799,False,0.46355171546011237
MBON-04-GaL4 (MBON-β′2mp_bilateral),Empty-Split,False,[],42350.847970159724,0.053946053946053944,0.9275144431344665,0.03396603396603397,False,0.31868131868131866,False,0.16813186813186815
MB013B (SIFamide),Empty-Split,False,[],41349.004262019545,0.11788211788211789,0.9523293912010904,0.027972027972027972,False,0.44885883347421807,False,0.16289592760180996
R15B07-gal4 (R1/R3/R4d (EB)),Empty-Gal4,False,[],54914.97686438151,0.026973026973026972,0.9825862104882804,0.03296703296703297,False,0.24275724275724275,False,0.16813186813186815
MB025B (PAM-13-14),Empty-Split,False,[],27588.617815293834,0.33166833166833165,0.7171723148487131,0.21478521478521478,False,0.6721237945727742,False,0.36348267117497884
R31A12-Gal4 (ER1 (EB)),Empty-Gal4,False,[],28684.436757550742,0.26673326673326675,0.8861661003510374,0.061938061938061936,False,0.6236586942469295,False,0.21485411140583557
R14G09 (ExR4 (EB)),Empty-Gal4,False,[],19970.372074927523,0.5224775224775224,0.5518258323571531,0.46353646353646355,False,0.7037452343574792,False,0.5736263736263737
