Nickname,Approaches,N_Approaches,Details,Min_FDR_pval,Consistency
51970 (Capa-GAL4 5F),"FPCA_Temporal, MFA",2,Dim.6; FPCA1,0.0387166032177949,2
51975 (Tk-GAL4 5Fa),MFA,1,Dim.7,0.0478912309922524,1
51977 (Crz-GAL4 4M),MFA,1,Dim.7,0.0335231877290638,1
51979 (AstA-GAL4 5),MFA,1,Dim.2,0.0478912309922524,1
51980 (Burs-GAL4 4M),FPCA_Temporal,1,FPCA1,0.0433968106832789,1
51984 (Mip-GAL4 2M),FPCA_Temporal,1,FPCA1,0.0387166032177949,1
51993 (Lk-GAL4 2M),MFA,1,Dim.6,0.0478912309922524,1
7362 (C739-Gal4),MFA,1,Dim.7,0.0181876505010056,1
854 (OK107-Gal4),"FPCA_Temporal, MFA, PCA_Static, PCA_Static_Sparse",4,Dim.2; Dim.3; Dim.7; FPCA2; FPCA3; PCA2; SparsePCA2,6.621559911221573e-05,4
86658 (LH1744),FPCA_Temporal,1,FPCA3,0.0452556224020564,1
86671 (LH412),FPCA_Temporal,1,FPCA1; FPCA3,0.0433968106832789,1
86830 (pC1-SS1),FPCA_Temporal,1,FPCA2,0.0452556224020564,1
9943 (GR63a-GAL4),MFA,1,Dim.2; Dim.7,0.0390119252025683,1
DDC-gal4,"FPCA_Temporal, MFA",2,Dim.3; Dim.7; FPCA3,0.0002930947203966,2
GMR70G12-Gal4,MFA,1,Dim.7,0.0478912309922524,1
"JON-AB
JO-15""",PCA_Static_Sparse,1,SparsePCA6,0.0439468353106104,1
KC-α/βc-GaL4,PCA_Static_Sparse,1,SparsePCA4,0.0439468353106104,1
LC4,MFA,1,Dim.3,0.0498246277927544,1
R38H02-gal4 (R4 (EB)),PCA_Static_Sparse,1,SparsePCA6,0.0439468353106104,1
R59B10-gal4 (R4m - medial (EB)),PCA_Static,1,PCA5,0.0170086021229955,1
R78A01 (ExR1 (EB)),"FPCA_Temporal, MFA",2,Dim.2; FPCA1,0.0387166032177949,2
R80C07-gal4 (ER3d (EB)),MFA,1,Dim.4,0.026187943829956,1
VT43924 (MB-APL),"MFA, PCA_Static_Sparse",2,Dim.6; Dim.7; SparsePCA6,0.0111398280519901,2
c316 (MB-DPM),"MFA, PCA_Static",2,Dim.3; PCA5; PCA6,0.0169946835601557,2
