Nickname,Control,Dimension,pval,FDR_significant,FDR_pval
KC-α/βc-GaL4,Empty-Split,FPCA1,0.9733019849358345,False,0.9881994642970973
KC-α/βc-GaL4,Empty-Split,FPCA2,0.015196048595095806,False,0.18779776504255086
KC-α/βc-GaL4,Empty-Split,FPCA3,0.2194606651356178,False,0.5178577750433353
72D07-GAL4,Empty-Gal4,FPCA1,0.20285606369824968,False,0.5049135189317623
72D07-GAL4,Empty-Gal4,FPCA2,0.6968990245749931,False,0.8534268324390977
72D07-GAL4,Empty-Gal4,FPCA3,0.06799445126898383,False,0.33002184884214103
KC-γmain-GaL4,Empty-Split,FPCA1,0.7436659516946831,False,0.8808900261145354
KC-γmain-GaL4,Empty-Split,FPCA2,0.04952161667901664,False,0.3087833797054353
KC-γmain-GaL4,Empty-Split,FPCA3,0.44114048647232973,False,0.7137150959999481
LC26,Empty-Split,FPCA1,0.40692708741200456,False,0.7035029886380785
LC26,Empty-Split,FPCA2,0.9805868272905871,False,0.9888688106291901
LC26,Empty-Split,FPCA3,0.8903911006345101,False,0.9563154032645589
20G07-GAL4,Empty-Gal4,FPCA1,0.8973689347052458,False,0.9563154032645589
20G07-GAL4,Empty-Gal4,FPCA2,0.4444416546157046,False,0.7151796975891527
20G07-GAL4,Empty-Gal4,FPCA3,0.14228143574927907,False,0.43117775199147007
44H11-GAL4,Empty-Gal4,FPCA1,0.7104742641913426,False,0.8534268324390977
44H11-GAL4,Empty-Gal4,FPCA2,0.919928365004812,False,0.9651972476412527
44H11-GAL4,Empty-Gal4,FPCA3,0.2712027872786144,False,0.5659558521856717
KC-γd-GaL4,Empty-Split,FPCA1,0.480156719375021,False,0.7426258069090351
KC-γd-GaL4,Empty-Split,FPCA2,0.6228609849103769,False,0.8300178749810156
KC-γd-GaL4,Empty-Split,FPCA3,0.6057468063292654,False,0.8256411949282453
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,FPCA1,0.0368046862307466,False,0.2679560692653137
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,FPCA2,0.3342725844040263,False,0.6295291258334501
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,FPCA3,0.1883822580770764,False,0.4885062674817435
LPLC2,Empty-Split,FPCA1,0.4586840475977084,False,0.7160211914991463
LPLC2,Empty-Split,FPCA2,0.40374525604128964,False,0.7035029886380785
LPLC2,Empty-Split,FPCA3,0.23225965981451038,False,0.535764037475534
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,FPCA1,0.29230156590889306,False,0.5884109947307268
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,FPCA2,0.9451474973932987,False,0.9749743268879612
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,FPCA3,0.5821409972705676,False,0.814352059894485
SS02255-GAL4 (P-F2N3 (target FSB)),Empty-Split,FPCA1,0.40960585061014354,False,0.7035029886380785
SS02255-GAL4 (P-F2N3 (target FSB)),Empty-Split,FPCA2,0.41156299084402614,False,0.7035029886380785
SS02255-GAL4 (P-F2N3 (target FSB)),Empty-Split,FPCA3,0.09834233598352815,False,0.38372793844553144
R78A01 (ExR1 (EB)),Empty-Gal4,FPCA1,0.00025940772675239504,True,0.03871660321779496
R78A01 (ExR1 (EB)),Empty-Gal4,FPCA2,0.41670960719637506,False,0.7035029886380785
R78A01 (ExR1 (EB)),Empty-Gal4,FPCA3,0.8212256796258692,False,0.9250410013898942
SS02239-gal4 (P-F3LC patch line),Empty-Split,FPCA1,0.05318167668463692,False,0.3143510988190915
SS02239-gal4 (P-F3LC patch line),Empty-Split,FPCA2,0.44999972677359146,False,0.7154044206103228
SS02239-gal4 (P-F3LC patch line),Empty-Split,FPCA3,0.04519664110559452,False,0.2965098323081311
R59B10-gal4 (R4m - medial (EB)),Empty-Gal4,FPCA1,0.01721493737080609,False,0.18779776504255086
R59B10-gal4 (R4m - medial (EB)),Empty-Gal4,FPCA2,0.5979928137055293,False,0.8205310216707125
