Nickname,Control,MannWhitney_any_dim_significant,MannWhitney_significant_dims,Permutation_stat,Permutation_pval,Mahalanobis_stat,Mahalanobis_pval,Permutation_FDR_significant,Permutation_FDR_pval,Mahalanobis_FDR_significant,Mahalanobis_FDR_pval
KC-α/βc-GaL4,Empty-Split,False,[],0.9722948622094525,0.12287712287712288,1.6841255391647774,0.05094905094905095,False,0.326033966033966,False,0.2534715284715285
72D07-GAL4,Empty-Gal4,False,[],0.9013911089354796,0.2857142857142857,1.5808920938329374,0.24475524475524477,False,0.5313751668891855,False,0.5100556009646919
KC-γmain-GaL4,Empty-Split,False,[],0.801837538375573,0.45454545454545453,1.442795820192633,0.6373626373626373,False,0.6043556443556444,False,0.8040124432529496
LC26,Empty-Split,False,[],0.8665759290541956,0.3916083916083916,1.4887090840235653,0.4995004995004995,False,0.5661512400642835,False,0.7100042814328529
20G07-GAL4,Empty-Gal4,False,[],0.725341443397362,0.5034965034965035,1.7124086409495816,0.03496503496503497,False,0.6435551627859321,False,0.2385614385614386
44H11-GAL4,Empty-Gal4,False,[],1.1303956137331181,0.1968031968031968,1.6896958469270706,0.06693306693306693,False,0.4303718259762216,False,0.28229770229770235
KC-γd-GaL4,Empty-Split,False,[],0.6872254525033141,0.8311688311688312,1.6544117775171765,0.1108891108891109,False,0.8808585031989288,False,0.35342435342435347
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,False,[],1.4413013362402132,0.04895104895104895,1.695352873540885,0.07892107892107893,False,0.19100507335801453,False,0.30794695500577857
LPLC2,Empty-Split,False,[],0.7483063243231702,0.5614385614385614,1.441217842549738,0.6383616383616384,False,0.6854372621243786,False,0.8040124432529496
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,False,[],0.8473768237010322,0.25574425574425574,1.573407358557007,0.3306693306693307,False,0.508931068931069,False,0.5576542101965831
SS02255-GAL4 (P-F2N3 (target FSB)),Empty-Split,False,[],0.8111170822271518,0.4985014985014985,1.698337859844807,0.04995004995004995,False,0.6435551627859321,False,0.2534715284715285
R78A01 (ExR1 (EB)),Empty-Gal4,True,"['Dim.2', 'Dim.5', 'Dim.6', 'Dim.11']",1.5884444716266823,0.001998001998001998,1.6676123772905922,0.06993006993006994,True,0.028400171257314116,False,0.28229770229770235
SS02239-gal4 (P-F3LC patch line),Empty-Split,False,[],1.0993756185326464,0.17082917082917082,1.7544913243708347,0.023976023976023976,False,0.39994123523535285,False,0.21352721352721352
R59B10-gal4 (R4m - medial (EB)),Empty-Gal4,True,"['Dim.1', 'Dim.4']",2.1014379086864667,0.001998001998001998,1.7592407856945695,0.028971028971028972,True,0.028400171257314116,False,0.21352721352721352
SS00078-gal4 (PBG2‐9.s‐FBℓ3.b‐NO2D.b (PB)),Empty-Split,False,[],1.445935863773733,0.026973026973026972,1.7766968999474393,0.008991008991008992,False,0.15462315462315462,False,0.14910089910089913
R19G02 (E-PG),Empty-Split,False,[],0.8739985850916591,0.3246753246753247,1.5776255424543637,0.26073926073926074,False,0.533877412909671,False,0.5157021196625158
R80C07-gal4 (ER3d (EB)),Empty-Gal4,True,['Dim.4'],1.8710772079714253,0.006993006993006993,1.755447283092929,0.024975024975024976,False,0.07229134501861774,False,0.21352721352721352
51987 (Dh44-GAL4 2M),Empty-Gal4,True,['Dim.7'],1.2851485301542702,0.017982017982017984,1.778811116364251,0.2137862137862138,False,0.1192807192807193,False,0.5005112534524299
51981 (Dsk-GAL4 3M),Empty-Gal4,False,[],0.8161495466873023,0.4405594405594406,1.738501514877765,0.028971028971028972,False,0.6004885525433471,False,0.21352721352721352
51988 (Dh31-GAL4 2M),Empty-Gal4,True,['Dim.7'],1.433311188015063,0.006993006993006993,1.8834860993834175,0.022977022977022976,False,0.07229134501861774,False,0.21352721352721352
51983 (Mip-GAL4 1M),Empty-Gal4,False,[],3.3798465727232943,0.001998001998001998,1.855684774936422,0.06393606393606394,True,0.028400171257314116,False,0.28229770229770235
51986 (Ms-GAL4 6Ma),Empty-Gal4,False,[],1.1807320998473685,0.03996003996003996,1.661686697729007,0.5254745254745254,False,0.19051781551781552,False,0.721168486685728
51984 (Mip-GAL4 2M),Empty-Gal4,True,['Dim.6'],1.609134704967148,0.000999000999000999,1.6374570454447146,0.12687312687312688,True,0.02485014985014985,False,0.3540295321117239
51985 (Ms-GAL4 1M),Empty-Gal4,False,[],0.952305655006683,0.1958041958041958,1.742090225907014,0.3246753246753247,False,0.4303718259762216,False,0.5569861173309449
MBON-13-GaL4 (MBON-α′2),Empty-Split,False,[],1.126291632125662,0.027972027972027972,1.4667888882592945,0.5764235764235764,False,0.15462315462315462,False,0.7559677164940323
MBON-14-GaL4 (MBON-α3),Empty-Split,False,[],1.1235562480009555,0.08891108891108891,1.394623988121126,0.3126873126873127,False,0.27220471835856447,False,0.5445424141076316
MBON-16-GaL4   MBON-17-Gal4 ,Empty-Split,False,[],1.0436289713023648,0.07392607392607392,1.3764287565638855,0.7742257742257742,False,0.25809278440857386,False,0.8894933637790781
