Nickname,Pseudo-F,p-value
KC-α/βc-GaL4,1.3986201661211661,0.2358804
72D07-GAL4,1.5552403414135854,0.2491694
KC-γmain-GaL4,0.9056811802089493,0.3754153
LC26,0.6202040382237805,0.5249169
20G07-GAL4,0.7626752723041482,0.4152824
44H11-GAL4,0.8359706949406829,0.4950166
KC-γd-GaL4,0.3097699246574727,0.7541528
MBON-11-GaL4 (MBON-γ1pedc>α/β),3.317369586335253,0.0564784
LPLC2,0.5528890507749495,0.5980066
R12B01-gal4 (R4d - distal (EB)),0.8337319765002322,0.4019934
SS02255-GAL4 (P-F2N3 (target FSB)),0.6978509412664837,0.5415282
R78A01 (ExR1 (EB)),9.804084842827711,0.0033223
SS02239-gal4 (P-F3LC patch line),1.7325612085529736,0.1694352
R59B10-gal4 (R4m - medial (EB)),9.292553021671289,0.0033223
SS00078-gal4 (PBG2‐9.s‐FBℓ3.b‐NO2D.b (PB)),4.227486065247164,0.0365449
R19G02 (E-PG),1.2144147285588733,0.3122924
R80C07-gal4 (ER3d (EB)),6.597888191959533,0.0066445
51987 (Dh44-GAL4 2M),3.706416905233149,0.0265781
51981 (Dsk-GAL4 3M),0.13275946998428642,0.9269103
51988 (Dh31-GAL4 2M),5.106573648279271,0.0099668
51983 (Mip-GAL4 1M),6.370862604892855,0.0033223
51986 (Ms-GAL4 6Ma),3.3256663462331186,0.0531561
51984 (Mip-GAL4 2M),10.58582312453211,0.0033223
51985 (Ms-GAL4 1M),1.6794603663200955,0.1960133
MBON-13-GaL4 (MBON-α′2),3.060899395339914,0.0465116
MBON-14-GaL4 (MBON-α3),1.7848644732311887,0.1594684
MBON-16-GaL4   MBON-17-Gal4 ,2.3264414598262,0.1229236
MBON-01-GaL4 (MBON-γ5β′2a),1.5982991579013202,0.2259136
MBON-12-GaL4 (MBON-γ2α′1),0.6831925979051904,0.5415282
MBON-10-GaL4 (MBON-β′1),0.6935599021043533,0.5182724
MBON-03-GaL4 (MBON-β′2mp),0.8662186503488138,0.4086379
MBON-04-GaL4 (MBON-β′2mp_bilateral),2.2795423570184585,0.0830565
MB013B (SIFamide),1.3041132176447687,0.2292359
R15B07-gal4 (R1/R3/R4d (EB)),3.7556614002830844,0.0265781
MB025B (PAM-13-14),0.7368099462293868,0.4817276
R31A12-Gal4 (ER1 (EB)),0.8090675669633053,0.4485050
R14G09 (ExR4 (EB)),0.986106432317888,0.3787375
MB022B (OA-VPM3),0.07390267400529604,0.9734219
R28E01-gal4 (ER3m (EB)),0.32462288821440327,0.8073090
MB058B (PPL1-05),0.8813414467554326,0.4418605
MB043B (PAM-11),1.278172094551645,0.2857143
MB304B (PPL1-04),0.17282537463157008,0.8538206
MB296B (PPL1-03),0.8570430338723289,0.4584718
MB312B (PAM-07),3.1079935159538588,0.0664452
MB056B (PAM-05),0.24848669910723387,0.7906977
MB315C (PAM-01),3.1630541813586444,0.0863787
TNTxCS,3.8604416452589083,0.0199336
MB504B (All PPL1),5.070129683611209,0.0166113
MB465C (MB-CSD),1.569921632583247,0.1694352
MB380B (MB-C1),0.03240238305766762,0.9833887
SS54295-gal4 (PBG2‐9.s‐EBt.b‐NO1.b (PB)),1.0343705098010654,0.3754153
MB063B (PAM-10),2.522740877097992,0.0863787
41744 (IR8a mutant),4.816108537016579,0.0099668
51306 (OR47b mutant),1.665896080635741,0.1760797
c316 (MB-DPM),12.803495538911221,0.0033223
86666 (LH1139),2.245231645981701,0.1063123
86670 (LH1594),1.3813141188233664,0.2491694
86674 (LH247),1.155346885198234,0.3122924
86667 (LH1000),1.5679036744756036,0.2458472
86671 (LH412),5.08333896273617,0.0232558
86675 (LH542),1.5297555483931664,0.2159468
86669 (LH567),0.12285652534699393,0.9468439
86661 (LH1554),0.060516531182830686,0.9833887
VT43924 (MB-APL),3.7509551837771147,0.0365449
