,chamber_exit_time,time_chamber_beginning,first_major_event,first_major_event_time,max_event_time,chamber_ratio,distance_ratio,head_pushing_ratio,pulling_ratio,significant_ratio,distance_moved,max_distance,max_event,nb_events,nb_freeze,nb_significant_events,normalized_velocity,velocity_during_interactions,velocity_trend,flailing,fraction_not_facing_ball,number_of_pauses,has_finished,has_major,has_significant,pulled,interaction_persistence,persistence_at_end
PCA1,0.048919242442946355,0.003957641921751465,0.001499044070975741,0.00227347292575806,0.0024365479806727737,0.0028696901766230238,0.00027331449857229107,-0.0010810391449137843,0.0012670911252958994,-0.003172731802704182,0.006261324996623182,0.029951183310273837,0.002318545706306524,-0.00046637064217735526,-0.00028826408129832966,0.001646963860764478,-0.038793331131265305,7.679869582351631e-05,0.9975248230524484,0.00034744276271631475,-0.005626531468702664,0.0007495549017930044,0.002095910440177089,-0.0,-0.0,0.0012998891091391337,-0.0035906472124428504,0.00024275962439296306
PCA2,0.9826289782578461,0.010565199153869713,0.0022284469217572276,0.015345911013961702,0.0050686570361907655,0.010052893797335368,-0.001047697793412576,0.003983556054471682,0.0007710518170090609,-0.003340243937079206,-0.0024970853500568585,-0.01157836045845088,-0.0009412157144298175,-0.005132151131246941,-0.006478378706162178,0.0006554229913371404,0.024117526420708073,0.003687141281026307,-0.04763537747339516,0.003155282411392414,0.0019215634674587343,-0.002467887015102424,-0.0005042562275949332,-0.0,-0.0,-0.000257813650104398,-0.17535145384933795,-0.009499780559577588
PCA3,0.17577979925826237,-0.009239653586232258,-0.01299064289923495,-0.0049588796719885735,-0.008603031956019015,0.0014819926268520049,-0.020719532843631507,-0.009140746067036925,-0.006951746853894202,0.015163207290532721,-0.013248534377474284,0.008885186969748878,-0.014050437421806807,-0.004851123919271843,0.00518269034044199,-0.014505697350156116,-0.004617348997767819,-0.008166829313718114,-0.005080353923664037,-0.017326873196207647,0.0281346614513492,0.004841173102701234,0.0012026646414339092,-0.0,-0.0,-0.013108499090569523,0.9826833094559305,0.01318824678798583
PCA4,0.003770835131393158,0.0186159735225305,0.08771259720972749,0.015736284221743724,0.04745198407097147,-0.02892197071281513,0.713291459755039,0.018508503343546298,0.05537366458388122,-0.029364963135491213,0.35368810638693293,-0.3292672358401055,0.13784958975814093,0.028439591578380732,0.009015986954282898,0.2967530996598095,-0.0021374920401272296,0.005769107389409634,0.005705790575366063,0.0124685907449383,0.010810581897726339,0.18170012087642287,-0.03047444191598969,3.02325590774856e-28,-2.0271869256311355e-29,0.31117074510219245,0.035273674149129394,-0.041582188816393174
PCA5,0.022321976779375495,-0.07592254468407977,-0.040442111358789445,-0.15511753894331784,-0.05966618389442748,-0.088791957503077,0.05103222180745249,-0.0030149042911062052,0.009927761571738414,0.01790864714985055,0.3374516311529753,0.79259419388079,0.11166476513216256,0.11853192367552795,0.06960402244801207,0.14558958200905958,-0.33599419712691997,-0.03368662173300746,-0.039564613408392374,-0.04272598470090178,0.03543845301199722,0.07695086246694514,0.0626972716217719,-5.539684858267159e-25,3.714530644929422e-26,0.1374018603357403,-0.008114413217529155,0.10702138448555704
PCA6,-0.019079389793124475,0.12467383450733793,0.2145334871155833,0.20727489108936586,0.15440792994252536,0.052709539150465,-0.07922631277891211,0.0334782314159694,0.010446135663010062,-0.08012552892317158,0.14592226323434646,0.3416959303702859,0.1480414664492562,-0.05047163801615126,-0.03688775214855621,0.07193481495888494,0.8039872109189373,0.03708142187056192,0.018039959673885442,0.045994763959235255,-0.05700418663942407,0.13094599985741145,0.022854622949330466,-1.00868218244746e-21,6.763527120327616e-23,0.05473729744881536,0.019778709152115888,-0.10484333510915683
PCA7,-0.009718531573047088,-0.002016941570995634,-0.36824149845874465,-0.04521393178133044,-0.043264096214036964,0.053342537608335384,0.13779161669532028,-0.07035444534824511,-0.026490177121348962,0.1352492797401941,0.09466211213788138,0.06291641797772264,-0.17238255049541623,-0.04739289428974697,-0.16161758007842492,0.012406947127416188,0.2179485231375337,0.18052276948789456,0.011960297039044429,0.06764380753462149,0.730599799284212,-0.35056007474135653,0.005317094193046993,1.0078087698376733e-19,-6.7576706176875165e-21,0.035735170304926296,-0.01997735586123426,0.016457174045651002
PCA8,-0.0006542353781585899,-0.01244679450212645,0.47754254423005693,0.08153999816150406,0.06951453073476067,-0.084923348074422,-0.24177111672035545,-0.005831743114187452,0.0371238484669068,-0.13495846408920353,-0.08436429490726662,-0.10196720872536219,0.2624112248636385,0.06594791691370913,0.09906527699564854,0.02377983779861076,-0.20037456935889814,0.18714823986192827,-0.0028393472459119183,0.09550876663851894,0.6067840266048811,0.3479416816476325,-0.008788552118011574,-7.413847427576607e-18,4.971214820286775e-19,-0.012911513216290397,-0.008713167192079178,0.006936552113681433
PCA9,0.002380430498247941,-0.15390528237029227,-0.16045740702143335,-0.1019812829889725,-0.13703118508938772,-0.09145966798210232,0.09107652270368814,-0.06813783289396545,-0.053411630302093456,0.08563095956208579,-0.0768153272418482,-0.03074529964825543,-0.17658759188645018,0.05058596429394964,0.4335416425357045,-0.10272824361557145,0.2595100283896743,-0.41067199747239064,0.014962490692321459,-0.3517293679944329,0.202364920786703,0.42910955368986126,-0.0010383539166319625,-5.430866402771013e-18,3.6415644927781267e-19,-0.10087789217573266,-0.0335213056021165,0.23339597536967044
PCA10,-0.001917369149830988,0.034079037722805156,0.47917279157334286,0.12549635238015378,-0.1653633713589253,0.18512350022289387,0.49484230151568515,0.0011227323102703907,-0.09536805567327095,-0.003533382070366756,-0.1551359658578106,0.24885604884631285,-0.3885289089787657,-0.032373834038991633,-0.025899460004696558,-0.32838457588416087,-0.05958115583798683,0.0926053613165451,-0.008156671964229721,0.03957133726128393,0.02292382133913716,-0.03491877023370429,0.025032523474823237,-5.672929048852792e-17,3.803876073608803e-18,-0.27374925947518636,-0.00182532209633951,-0.017537285627095153
PCA11,0.010078702851822769,-0.31575508112982237,0.2791306531184092,-0.23227168778396465,-0.26262377669429465,-0.28920117989174204,0.011216170198934262,-0.11915183973404653,-0.021018976103952952,-0.007434429340648877,-0.03674520296041086,-0.09200732461273643,0.11839164178086095,0.45494320909736746,0.019085928537819718,0.03349514914289184,0.24599147201782712,0.12915686807984467,0.014183373135715799,0.1024793306957242,-0.10293757503665013,-0.3548258207190242,0.0035314970149697,-4.929996450816045e-18,3.3057115127824177e-19,0.023572705137863473,0.0036746876676044885,0.37899497550504313
PCA12,0.002722669896104975,-0.03622782407372757,-0.3487166198748848,-0.2120528009740001,-0.10779312944280425,-0.05531686211104592,0.08698050597374041,0.30311561252494845,-0.03956107500854393,-0.028184667259078755,-0.1053381205047489,0.029053017179541,-0.04377596213093415,0.10956560548815024,0.13006671929610844,-0.09208084683340934,0.08671280398948565,0.5565536423206436,0.004186209114081241,0.3724031425935503,-0.12543992058740444,0.4218973364112778,0.002732405313596725,-4.0523750262540237e-17,2.717069936554982e-18,-0.11756018087713341,0.0055705792852589996,-0.028381324015398328
