Nickname,Control,MannWhitney_any_dim_significant,MannWhitney_significant_dims,MannWhitney_corrected_pvals,MannWhitney_raw_pvals,MannWhitney_dims_tested,Permutation_stat,Permutation_pval,Mahalanobis_stat,Mahalanobis_pval,Permutation_FDR_significant,Permutation_FDR_pval,Mahalanobis_FDR_significant,Mahalanobis_FDR_pval
KC-α/βc-GaL4,Empty-Split,True,"['PCA1', 'PCA2', 'PCA12', 'PCA14']","[0.000993724325683474, 0.000963384678513561, 0.18320769841656664, 0.9660006247551662, 0.8594340359570929, 0.13070428002760745, 0.09203890745482486, 0.33656636310906207, 0.8594340359570929, 1.0, 0.4637857526043617, 0.00967871522543084, 0.4637857526043617, 0.008033388159749634, 0.10906757719935294, 0.23440089158102217, 0.8698833969256617, 0.4637857526043617, 0.8594340359570929, 0.8594340359570929]","[9.93724325683474e-05, 4.816923392567805e-05, 0.07328307936662666, 0.9177005935174078, 0.7047778292539938, 0.0457464980096626, 0.023009726863706215, 0.16828318155453104, 0.7047778292539938, 1.0, 0.28563352706656997, 0.001935743045086168, 0.3014607391928351, 0.0012050082239624452, 0.03272027315980588, 0.10548040121145998, 0.7828950572330956, 0.28563352706656997, 0.7305189305635289, 0.6053984249544725]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6', 'PCA7', 'PCA8', 'PCA9', 'PCA10', 'PCA11', 'PCA12', 'PCA13', 'PCA14', 'PCA15', 'PCA16', 'PCA17', 'PCA18', 'PCA19', 'PCA20']",3.1262430250918967,0.000999000999000999,1.920205165810444,0.000999000999000999,True,0.008283383283383284,True,0.0076461999538922605
72D07-GAL4,Empty-Gal4,True,"['PCA1', 'PCA3', 'PCA17']","[2.659962512144843e-05, 0.08751968170867969, 0.009099148295990128, 0.16627731038163662, 0.782527348009753, 0.6115735384904327, 0.16627731038163662, 0.6115735384904327, 0.052656038650746376, 0.18602314853845123, 0.5601091772659804, 0.6115735384904327, 0.8738234112002269, 0.3397319783227706, 0.15553136528454042, 0.055750589708931944, 0.02091632171090251, 0.6115735384904327, 0.08751968170867969, 0.9342393414808573]","[1.3299812560724217e-06, 0.028176006067325277, 0.0009099148295990129, 0.07743559850175236, 0.7042746132087777, 0.5198375077168678, 0.08313865519081831, 0.4779486596694533, 0.010531207730149275, 0.10231273169614818, 0.3640709652228873, 0.49865925804988187, 0.8301322406402155, 0.20383918699366232, 0.06221254611381617, 0.013937647427232986, 0.0031374482566353763, 0.45771743442744617, 0.030631888598037886, 0.9342393414808573]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6', 'PCA7', 'PCA8', 'PCA9', 'PCA10', 'PCA11', 'PCA12', 'PCA13', 'PCA14', 'PCA15', 'PCA16', 'PCA17', 'PCA18', 'PCA19', 'PCA20']",27.307216632848647,0.002997002997002997,1.8635656218231964,0.000999000999000999,True,0.019238825690438593,True,0.0076461999538922605
KC-γmain-GaL4,Empty-Split,True,"['PCA1', 'PCA2']","[0.017222858797683104, 0.01669408549757297, 0.6690857502358877, 0.8632664146869172, 0.2834584416766365, 0.09586242377611544, 0.09586242377611544, 0.2834584416766365, 0.8632664146869172, 0.5481104348960638, 0.7407731364293717, 0.5481104348960638, 0.5481104348960638, 0.6690857502358877, 0.3231490282525634, 0.5481104348960638, 0.6690857502358877, 0.8632664146869172, 0.6690857502358877, 0.6690857502358877]","[0.0017222858797683106, 0.0008347042748786486, 0.5352686001887101, 0.8632664146869172, 0.08503753250299094, 0.014465515076215992, 0.01917248475522309, 0.07898257926378298, 0.8362744674315843, 0.3014607391928351, 0.6296571659649659, 0.3014607391928351, 0.28563352706656997, 0.5128366746384507, 0.11310215988839718, 0.3014607391928351, 0.4909046772325092, 0.8632664146869172, 0.5128366746384507, 0.5352686001887101]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6', 'PCA7', 'PCA8', 'PCA9', 'PCA10', 'PCA11', 'PCA12', 'PCA13', 'PCA14', 'PCA15', 'PCA16', 'PCA17', 'PCA18', 'PCA19', 'PCA20']",7.102908278417105,0.000999000999000999,1.7197758715137694,0.07592407592407592,True,0.008283383283383284,False,0.13024906128354405
LC26,Empty-Split,True,['PCA1'],"[0.022283804102869627, 0.13605995658980485, 0.7540995616908917, 0.45506926513078905, 0.2555635491253832, 0.45506926513078905, 0.4943869470661293, 0.8429507908219149, 0.31788956478592495, 0.3373453645204325, 0.751811464060487, 0.7540995616908917, 0.3373453645204325, 0.5807486427610715, 0.3373453645204325, 0.7994345951367722, 0.5076622844050172, 0.3373453645204325, 0.6136554383525322, 0.6136554383525322]","[0.0011141902051434813, 0.013605995658980486, 0.6786896055218025, 0.22753463256539452, 0.03833453236880748, 0.22753463256539452, 0.27191282088637114, 0.8429507908219149, 0.063577912957185, 0.12578642463894, 0.6014491712483897, 0.6786896055218025, 0.134938145808173, 0.3774866177946965, 0.11712567855905873, 0.7594628653799336, 0.3045973706430103, 0.10121392339196922, 0.4602415787643992, 0.4602415787643992]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6', 'PCA7', 'PCA8', 'PCA9', 'PCA10', 'PCA11', 'PCA12', 'PCA13', 'PCA14', 'PCA15', 'PCA16', 'PCA17', 'PCA18', 'PCA19', 'PCA20']",2.484559847100025,0.15084915084915085,1.7369737363674735,0.06693306693306693,False,0.23091523860754629,False,0.11892571714000284
20G07-GAL4,Empty-Gal4,True,"['PCA2', 'PCA3', 'PCA17']","[0.5566200110582736, 0.017929368517042032, 0.04996769868336648, 0.2892368563712549, 0.9038799668928443, 0.7409845049215907, 0.2714525303499626, 0.4032863540345864, 0.7683600269391431, 0.3334583616378628, 0.23631349094735057, 0.464912065647921, 0.36770929008256126, 0.754544446404038, 0.2714525303499626, 0.3606633362793531, 0.015360434340959754, 0.36770929008256126, 0.36770929008256126, 0.8376938615989657]","[0.41746500829370525, 0.0017929368517042034, 0.007495154802504972, 0.10123289972993921, 0.9038799668928443, 0.5927876039372726, 0.08143575910498878, 0.26213613012248116, 0.6915240242452287, 0.13338334465514512, 0.04726269818947012, 0.32543844595354465, 0.20789684799610975, 0.6413627794434322, 0.07558159819903558, 0.1622985013257089, 0.0007680217170479877, 0.22062557404953675, 0.18405385732510526, 0.7958091685190174]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6', 'PCA7', 'PCA8', 'PCA9', 'PCA10', 'PCA11', 'PCA12', 'PCA13', 'PCA14', 'PCA15', 'PCA16', 'PCA17', 'PCA18', 'PCA19', 'PCA20']",2.5798610808187905,0.6033966033966034,1.6431797512480293,0.23676323676323677,False,0.6630347674303718,False,0.31202572262174916
44H11-GAL4,Empty-Gal4,True,"['PCA2', 'PCA17']","[0.3043528786194445, 0.03177428012346659, 0.48231169753436276, 0.48231169753436276, 0.48231169753436276, 0.4807198196220018, 0.8766126033208463, 0.06770234983875409, 0.4807198196220018, 0.3043528786194445, 0.11280601025039114, 0.48231169753436276, 0.4807198196220018, 0.47661114567723845, 0.11280601025039114, 0.11280601025039114, 0.00018528374050504, 0.2892368563712549, 0.4807198196220018, 0.3043528786194445]","[0.15217643930972224, 0.0031774280123466592, 0.41746500829370525, 0.4581961126576446, 0.41746500829370525, 0.36053986471650135, 0.8766126033208463, 0.010155352475813112, 0.30875081472695576, 0.14254225596926218, 0.028454821001272775, 0.4375578509038419, 0.36053986471650135, 0.26213613012248116, 0.03384180307511734, 0.028454821001272775, 9.264187025252e-06, 0.10123289972993921, 0.32543844595354465, 0.12468661770537769]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6', 'PCA7', 'PCA8', 'PCA9', 'PCA10', 'PCA11', 'PCA12', 'PCA13', 'PCA14', 'PCA15', 'PCA16', 'PCA17', 'PCA18', 'PCA19', 'PCA20']",2.8275882424923284,0.6733266733266733,1.853355993570726,0.000999000999000999,False,0.7089524232381375,True,0.0076461999538922605
KC-γd-GaL4,Empty-Split,True,"['PCA1', 'PCA2']","[0.03414791178117816, 0.01669408549757297, 0.39491289631891485, 0.8179026805216268, 0.8594340359570929, 0.6807307255190425, 0.6807307255190425, 0.8179026805216268, 0.9372830865726913, 1.0, 0.6807307255190425, 0.6807307255190425, 0.6807307255190425, 0.8179026805216268, 0.33075662928697164, 0.6807307255190425, 0.6807307255190425, 0.9372830865726913, 0.6807307255190425, 0.8179026805216268]","[0.0034147911781178164, 0.0008347042748786486, 0.07898257926378298, 0.6543221444173015, 0.7305189305635289, 0.24156658696897282, 0.3523838403888018, 0.5815675165100369, 0.8904189322440568, 1.0, 0.3014607391928351, 0.28563352706656997, 0.19058373802844075, 0.5815675165100369, 0.04961349439304574, 0.38918941278422226, 0.40843843531142543, 0.8904189322440568, 0.3178613394227999, 0.6296571659649659]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6', 'PCA7', 'PCA8', 'PCA9', 'PCA10', 'PCA11', 'PCA12', 'PCA13', 'PCA14', 'PCA15', 'PCA16', 'PCA17', 'PCA18', 'PCA19', 'PCA20']",4.378996505089272,0.02197802197802198,1.69060488187721,0.12187812187812187,False,0.06626706626706627,False,0.1894823926073926
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,False,[],"[0.3438841780009821, 0.13042023674007616, 0.564063396023265, 0.3438841780009821, 0.4185564891511211, 0.9474568252721844, 0.564063396023265, 0.9474568252721844, 0.5252759926076522, 0.3438841780009821, 0.94321020069365, 0.564063396023265, 1.0, 0.564063396023265, 0.3438841780009821, 0.3438841780009821, 0.3438841780009821, 0.3438841780009821, 0.3438841780009821, 0.5252759926076522]","[0.07878604441703936, 0.0065210118370038084, 0.37946266507115145, 0.15474788010044194, 0.20927824457556055, 0.9000839840085751, 0.4265068958101421, 0.9000839840085751, 0.31516559556459134, 0.054206771415141776, 0.8017286705896025, 0.4265068958101421, 1.0, 0.45125071681861206, 0.13189704508826744, 0.1429724061556742, 0.1429724061556742, 0.07878604441703936, 0.1429724061556742, 0.31516559556459134]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6', 'PCA7', 'PCA8', 'PCA9', 'PCA10', 'PCA11', 'PCA12', 'PCA13', 'PCA14', 'PCA15', 'PCA16', 'PCA17', 'PCA18', 'PCA19', 'PCA20']",8.07779530683891,0.013986013986013986,1.529037104090249,0.8121878121878122,True,0.04562650464289809,False,0.8204333737328662
LPLC2,Empty-Split,True,"['PCA2', 'PCA3', 'PCA7']","[0.0871983479581481, 0.007762518665383586, 0.025281641284091664, 0.4387776863926123, 0.5583112975824212, 0.676608471638036, 0.02869795790110912, 0.6115735384904327, 0.7672928236170501, 0.5583112975824212, 0.16492771749503193, 0.6115735384904327, 0.5583112975824212, 0.22294335607474208, 0.0871983479581481, 0.5583112975824212, 0.09392002022441759, 0.36264169745136665, 0.33574168374609753, 0.9080351775313281]","[0.018282244729201817, 0.00038812593326917935, 0.0025281641284091664, 0.24132772751593679, 0.3640709652228873, 0.6089476244742323, 0.004304693685166368, 0.5198375077168678, 0.7289281824361975, 0.41873347318681586, 0.05772470112326117, 0.5198375077168678, 0.3468892911616084, 0.08917734242989683, 0.021799586989537025, 0.41873347318681586, 0.028176006067325277, 0.18132084872568333, 0.1510837576857439, 0.9080351775313281]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6', 'PCA7', 'PCA8', 'PCA9', 'PCA10', 'PCA11', 'PCA12', 'PCA13', 'PCA14', 'PCA15', 'PCA16', 'PCA17', 'PCA18', 'PCA19', 'PCA20']",2.2956236671795103,0.17182817182817184,1.8159879684530358,0.006993006993006993,False,0.253943137154816,True,0.02625676210581871
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,False,[],"[0.3744801858892588, 0.3744801858892588, 0.4005998496850015, 0.8376938615989657, 0.3744801858892588, 0.3859385184086947, 0.3744801858892588, 0.3744801858892588, 0.3744801858892588, 0.9038799668928443, 0.3744801858892588, 0.08242931762984289, 0.4005998496850015, 0.08242931762984289, 0.3744801858892588, 0.06354856024693319, 0.08242931762984289, 0.3744801858892588, 0.3744801858892588, 0.3859385184086947]","[0.26213613012248116, 0.20789684799610975, 0.36053986471650135, 0.7958091685190174, 0.26213613012248116, 0.2926390096790019, 0.20789684799610975, 0.1622985013257089, 0.20789684799610975, 0.9038799668928443, 0.1622985013257089, 0.014995774249597058, 0.3427019210854506, 0.014995774249597058, 0.24773850319774648, 0.0031774280123466592, 0.016485863525968578, 0.19570931842465422, 0.18405385732510526, 0.30875081472695576]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6', 'PCA7', 'PCA8', 'PCA9', 'PCA10', 'PCA11', 'PCA12', 'PCA13', 'PCA14', 'PCA15', 'PCA16', 'PCA17', 'PCA18', 'PCA19', 'PCA20']",2.9658572215102055,0.8391608391608392,1.7161989449825605,0.08191808191808192,False,0.8563743948359333,False,0.13472477935287855
