,chamber_exit_time,time_chamber_beginning,first_major_event,first_major_event_time,max_event_time,chamber_ratio,distance_ratio,head_pushing_ratio,pulling_ratio,significant_ratio,distance_moved,max_distance,max_event,nb_events,nb_freeze,nb_significant_events,normalized_velocity,velocity_during_interactions,velocity_trend,flailing,fraction_not_facing_ball,number_of_pauses,has_finished,has_major,has_significant,pulled,interaction_persistence,persistence_at_end
SparsePCA1,0.0,0.00014003403631954138,-0.0,0.0031437561221689873,0.0005093557650930298,0.0,0.0,-0.0,0.0,0.0,-0.0021284345589595035,0.0,0.0,0.0025759218159454316,0.0,1.3988785184847283e-05,-0.0,0.0,0.9999793618308569,-0.002038670564391893,-0.0,-0.0,-0.0,0.0,0.0,-3.927761617368029e-05,0.0,0.003973680159338956
SparsePCA2,0.9999721307658558,0.0025427453778581275,-0.0,0.005297997142409079,-0.0014944214260727015,0.003578104762286398,-0.0,-0.0,-0.0,-0.001887913479852664,-0.0,-0.0,-0.0,0.001452562799834336,-0.0,0.0006017042070471527,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0003619817404421197,0.0,0.0,-0.0,0.0,0.0
SparsePCA3,0.0,-0.0032289997420350707,-0.0,0.00014083501086728037,0.0,-0.0,0.0,-0.0,-0.002462325292259167,0.0028723060188240827,0.0,-0.0,0.0008125671130084449,-0.0040027376074396786,0.0,-0.002419277814833383,-0.0,0.0,-0.0,-0.0026168860145584973,-0.0,-0.0,0.0,0.0,0.0,-0.000992358459121516,0.9999616519369147,0.004644055072307827
SparsePCA4,-0.0,0.00531114267167868,0.0,-0.016443490280298345,-0.01665048680679104,0.0,0.8461306581646251,0.0,0.02565173098914804,-0.0,0.37776793687974275,-0.12446034710318127,-0.0,0.02330933019269874,-0.0,0.2295206962345963,0.0,-0.023307218326363403,0.0,0.0,0.0,0.04465946106726735,-0.012522033221500585,0.0,0.0,0.2619648379312027,-0.0,-0.009323312955044584
SparsePCA5,-0.0,0.01647076725849004,-0.0,-0.030339289264769212,-0.018485525082729933,0.016076479739258888,-0.03521806702236829,-0.0,-0.02169732301009077,-0.00790929359096595,0.23505988599019673,0.9668292785496627,-0.0,0.016622831227264382,0.0,0.0007238511662244255,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.07592356207049895,0.0,0.0,-0.0,0.0,0.019524264394599346
SparsePCA6,0.0,0.030244424467453415,-0.0,0.11378779913039795,0.04547775571566847,0.010904616013679598,-0.0,0.0,-0.020765843098918053,-0.0,0.01511752412155953,-0.0,-0.0025367993275640217,0.0,-0.0033887548491589414,0.0,0.9915960897143673,-0.0,-0.0,0.0,0.0,0.0,-0.00019697714202589255,0.0,0.0,-0.003100839324751138,-0.0,0.000580271993272969
SparsePCA7,0.0,-0.022017997050105546,-0.017189493092905454,0.007435657982867614,0.004060758209163806,-0.029062424032556884,0.0,-0.0,-0.0007596369401503027,0.00010882044456951585,0.0167227615712976,-0.0,0.0,-0.014131163858075222,0.0,-0.0,-0.0,0.10423898289993912,-0.0,-0.0,0.9926743769803794,-0.0,-0.0,0.0,0.0,-0.0032543891996362545,0.0,0.039301668163140825
SparsePCA8,-0.0,0.0,0.9494336374267218,0.23169197005217806,0.014733338134680755,0.02637125707473001,0.0,0.0,0.014300103751679578,-0.06778776385606045,-0.02543421976866258,-0.0,0.14679406876042067,0.10272556598575058,-0.0,-0.0,-0.0,0.024860202417646117,-0.0,-0.002833710781405465,0.0,0.07366088771435766,0.0,0.0,0.0,0.002027670094436681,-0.0,0.019451820385449917
SparsePCA9,0.0,-0.0,0.0,-0.011172323194904656,0.03856919825382811,-0.03563050077177518,0.0,-0.0,-0.00032008326803614046,0.0,0.0,-0.0,0.06884162787510299,-0.048864771713095334,0.3285461893103794,0.023758843268928537,0.0,-0.21952229318769778,0.0,-0.24005514344971532,0.0,0.8806774624275125,-0.003395354199239574,0.0,0.0,-0.0052215311066940205,0.0,-0.005987450791034715
SparsePCA10,-0.0,0.0037444833021339284,-0.0,0.009467166226301478,0.16490096186304493,-0.07589886850963568,-0.07760017061679911,0.0,0.11947900139733057,0.07871736825524213,0.4913092107978252,-0.0,0.42816856671230935,0.07635256843088084,-0.0,0.5139977887223076,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.006392877966657155,-0.0,-0.0,0.4956536807923312,-0.0,0.0
SparsePCA11,-0.0,-0.38769948470685306,-0.0,-0.41327039706868,-0.3058898873020489,-0.39899817589138964,0.0,-0.0,-0.03354333225424143,0.0,-0.030033138930625806,0.0,0.1361426295248509,0.4698565524764034,0.07741380027484913,0.034432209292372104,-0.0,0.0,-0.0,-0.07897829851126738,-0.0,-0.0,0.009099379593799311,0.0,0.0,-0.0,0.0,0.4138871066368801
SparsePCA12,0.0,0.0647677856742968,0.0,-0.045962588800986956,-0.0,0.04762634193921492,0.0,0.0,-0.0,0.0,-0.028388891239431384,0.0,0.08884075880481197,0.04944377779060214,-0.0,0.021795474934120675,0.0,0.7252566649163736,0.0,0.48857446514834924,0.0,0.44326243537512944,-0.000692826638585945,0.0,0.0,0.0,-0.0,-0.13646121001354436
SparsePCA13,0.0,-0.0,-0.0,0.023394278781399814,0.022220284560752934,-0.0038393046610887536,0.0,0.9928971446012352,0.008156496212567792,0.0,0.027412309129021397,-0.0,0.0,0.02099378721198073,0.0,-0.001799238009381062,-0.0,0.02620302046064297,-0.0,-0.08881378547111292,-0.0,-0.0,-0.001413293181906204,0.0,0.0,-0.00023080928862076385,-0.0,-0.057105251370499065
SparsePCA14,0.0,-0.09070745304940496,-0.0,-0.0,-0.2484878783954704,0.2985390488084308,-0.0,-0.0,-0.09049065964146866,0.6965016537818743,0.0,0.0,-0.5000651452429483,-0.0,0.0005027559002157052,-0.026124152018137007,-0.0,0.04481929670333606,-0.0,-0.28639910272221647,-0.0,-0.0,0.0,0.0,0.0,0.04625780881752404,0.0,0.10332657713505909
SparsePCA15,-0.0,-0.022298403812299975,-0.0,0.09506063275049807,-0.01950121571180887,0.041719957369605896,-0.0,0.0,0.041638669802416005,-0.07852470350110831,0.027772467731365918,-0.0,-0.09430873323153831,0.03934853114680979,0.9078771640172202,-0.046483096122566646,-0.0,-0.0,-0.0,0.3147533202850483,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.20919002681269339
