,max_event_time,max_distance,nb_significant_events,first_major_event,first_major_event_time,pulled,pulling_ratio,distance_moved,auc,overall_slope,overall_interaction_rate
PCA1,-0.08969483578703405,0.9599133273835941,0.021759339008802253,0.061903130071369966,-0.15751603372248288,-0.03676911122040585,0.027945066247943018,0.11445573348522432,-0.13383479471550344,-0.05134039351269663,0.07499250389431016
PCA2,0.06714238664786082,-0.057599435251223075,0.35820335890154625,0.7407078087749663,0.005338888187301702,0.48489583003279957,0.04609085524478773,0.2409311578370513,0.09038876497363045,-0.0387034894445176,0.10111257227761289
PCA3,0.03560158904806988,0.01582904072549042,-0.35175200172745213,0.6511451526775738,0.13734016912334515,-0.566571389660406,-0.03606852156846347,-0.3092294861258116,0.014399836622096538,-0.0484495379593015,-0.10685738044075734
PCA4,-0.42771839141052975,-0.2076657497416248,-0.09446891074610779,0.12155253114965006,-0.46286636497226197,-0.10946108577575815,-0.00213812328911102,0.05213274014382467,-0.38608728261783576,0.3354374326859113,0.5096091294049871
PCA5,0.04240037781189747,0.09876792594077885,0.13609962830418787,-0.0731972280825612,0.4774433134751649,0.08493492998615407,-0.04095227548802439,-0.47167201082723054,0.08094011201385118,-0.03846327497815167,0.7051367256844931
PCA6,0.054059733353013575,-0.06288365454413003,-0.1356300004861769,-0.04368734528779247,0.1750504525749506,-0.3598868993800931,-0.02507203645157045,0.7224017129480556,0.2857011663485375,-0.2410742220816036,0.387844156680758
PCA7,0.5760829508389936,-0.0516944400283362,0.4391551143581217,-0.03215575955234903,-0.527852107663006,-0.3286938226865259,-0.0013470986402092857,-0.16133820060418325,0.03155012478710757,-0.17956578731946843,0.16008223714162254
PCA8,0.5458715353480027,0.10148566756868782,-0.23770576363408466,0.010113820974761784,0.0679456739599903,0.06581970513485279,-0.0192191388286806,0.13129546762986072,0.07853344791176264,0.7733434589636842,0.0658352144462068
PCA9,-0.2829598779822288,0.023050191783154143,0.6681297600629549,-0.007395161899292229,0.2826663665802562,-0.41317293607618855,-0.11561390186705868,0.09104016699366459,0.035031286805764165,0.4063797885858474,-0.18523382944466507
PCA10,-0.2660163929845519,0.04838260232194362,-0.029948713409228285,-0.01060514537216568,-0.2608072391250041,-0.013453042006994915,0.49900425948430693,-0.16722039858457363,0.7446055401238683,0.1588291162817957,0.032428326279420334
