Nickname,Control,MannWhitney_any_dim_significant,MannWhitney_significant_dims,MannWhitney_corrected_pvals,MannWhitney_raw_pvals,MannWhitney_dims_tested,Permutation_stat,Permutation_pval,Mahalanobis_stat,Mahalanobis_pval,Permutation_FDR_significant,Permutation_FDR_pval,Mahalanobis_FDR_significant,Mahalanobis_FDR_pval
KC-α/βc-GaL4,Empty-Split,False,[],"[0.9621482836066155, 0.4468533993923368, 0.47089124973771534, 0.4468533993923368, 0.9621482836066155, 0.9621482836066155, 0.4468533993923368, 0.4468533993923368, 0.5315849789363466, 0.9621482836066155]","[0.9621482836066155, 0.0905192333421713, 0.23544562486885767, 0.17874135975693473, 0.7637449284635762, 0.911826411753384, 0.1591554431461849, 0.07384365056328972, 0.31895098736180794, 0.861855796318015]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6', 'PCA7', 'PCA8', 'PCA9', 'PCA10']",2.371970473993363,0.1088911088911089,1.0780310079831623,0.40559440559440557,False,0.48252718155630775,False,0.6068668173931332
72D07-GAL4,Empty-Gal4,False,[],"[0.6260765313838715, 0.4468533993923368, 0.7182297100172318, 0.41281680708170787, 0.812432208131742, 0.4163785120089466, 0.4163785120089466, 0.6715824082951412, 0.6260765313838715, 0.6260765313838715]","[0.4017932346855225, 0.17874135975693473, 0.6464067390155086, 0.04128168070817079, 0.812432208131742, 0.12491355360268398, 0.0905192333421713, 0.537265926636113, 0.43825357196871007, 0.4017932346855225]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6', 'PCA7', 'PCA8', 'PCA9', 'PCA10']",1.2711795232972412,0.6343656343656343,1.300329006869733,0.07692307692307693,False,0.7382383698173172,False,0.24929039214753504
KC-γmain-GaL4,Empty-Split,False,[],"[0.7397342431142654, 0.7397342431142654, 0.7397342431142654, 0.5958045325231158, 0.7397342431142654, 0.5958045325231158, 0.7397342431142654, 0.5958045325231158, 0.7397342431142654, 0.7397342431142654]","[0.6692911266180891, 0.4017932346855225, 0.5166025822370435, 0.17874135975693473, 0.4017932346855225, 0.16873524285558883, 0.6464067390155086, 0.09670812608840504, 0.7397342431142654, 0.7159745798891979]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6', 'PCA7', 'PCA8', 'PCA9', 'PCA10']",1.7662955513662308,0.23676323676323677,0.9030594461897669,0.7922077922077922,False,0.48252718155630775,False,0.8539900959255797
LC26,Empty-Split,False,[],"[0.1911741790300437, 0.6076602601756886, 0.7090841497065531, 0.5579781438206401, 0.886784835609217, 0.26366087544218075, 0.1911741790300437, 0.7090841497065531, 0.886784835609217, 0.886784835609217]","[0.02180207622388945, 0.3038301300878443, 0.4963589047945871, 0.22319125752825608, 0.886784835609217, 0.07909826263265422, 0.03823483580600874, 0.4963589047945871, 0.886784835609217, 0.861855796318015]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6', 'PCA7', 'PCA8', 'PCA9', 'PCA10']",1.5960491865125772,0.4225774225774226,1.2370038715178473,0.16383616383616384,False,0.6334933722993424,False,0.37049314322041593
20G07-GAL4,Empty-Gal4,False,[],"[0.5956827647313119, 0.5285003331705675, 0.20048600175371795, 0.911826411753384, 0.5956827647313119, 0.48354063044202517, 0.5285003331705675, 0.911826411753384, 0.5956827647313119, 0.5956827647313119]","[0.41979076804604143, 0.1591554431461849, 0.020048600175371797, 0.886784835609217, 0.4765462117850495, 0.09670812608840504, 0.21140013326822704, 0.911826411753384, 0.36721620202250527, 0.31895098736180794]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6', 'PCA7', 'PCA8', 'PCA9', 'PCA10']",1.4042756590472718,0.4355644355644356,1.37823354380833,0.01998001998001998,False,0.642054242054242,False,0.11360068502925645
44H11-GAL4,Empty-Gal4,False,[],"[0.7397342431142654, 0.7397342431142654, 0.10901038111944723, 0.4963373876134014, 0.10901038111944723, 0.7397342431142654, 0.4963373876134014, 0.7397342431142654, 0.7397342431142654, 0.4963373876134014]","[0.7397342431142654, 0.5798009470581065, 0.02180207622388945, 0.17874135975693473, 0.02180207622388945, 0.7159745798891979, 0.23544562486885767, 0.4963589047945871, 0.6464067390155086, 0.2481686938067007]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6', 'PCA7', 'PCA8', 'PCA9', 'PCA10']",2.7756871940894703,0.08291708291708291,1.2754525551421887,0.0979020979020979,False,0.4230897307820385,False,0.2865076100370218
KC-γd-GaL4,Empty-Split,False,[],"[0.911826411753384, 0.8755389039195969, 0.8755389039195969, 0.8755389039195969, 0.34438975116060494, 0.836390459685778, 0.8755389039195969, 0.836390459685778, 0.8755389039195969, 0.34438975116060494]","[0.911826411753384, 0.4963589047945871, 0.5798009470581065, 0.6238520809623239, 0.068877950232121, 0.26136517590616637, 0.7879850135276372, 0.3345561838743112, 0.7159745798891979, 0.035381335266633125]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6', 'PCA7', 'PCA8', 'PCA9', 'PCA10']",0.43926834571445456,0.9600399600399601,0.8787852610425773,0.8091908091908092,False,0.969786558619046,False,0.861117492133535
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,False,[],"[0.38467569124650813, 0.9799230236421623, 0.24777072744721715, 0.38467569124650813, 0.8372023185823388, 0.4247349263404928, 0.24777072744721715, 0.9799230236421623, 1.0, 0.38467569124650813]","[0.1707792879820974, 0.8819307212779461, 0.03913093247770585, 0.19233784562325407, 0.5860416230076372, 0.25484095580429567, 0.04955414548944343, 0.80449274880142, 1.0, 0.13316846153095285]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6', 'PCA7', 'PCA8', 'PCA9', 'PCA10']",3.38947921743977,0.0999000999000999,1.275822670371865,0.11288711288711288,False,0.48252718155630775,False,0.3021778221778222
LPLC2,Empty-Split,False,[],"[0.9873785512460885, 0.9873785512460885, 0.6076602601756886, 0.8272648413243119, 0.9246678038928317, 0.4707947260397505, 0.4707947260397505, 0.6076602601756886, 0.3823483580600874, 0.8282870672258664]","[0.9873785512460885, 0.9873785512460885, 0.26136517590616637, 0.4963589047945871, 0.7397342431142654, 0.11009878371155198, 0.14123841781192514, 0.3038301300878443, 0.03823483580600874, 0.5798009470581065]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6', 'PCA7', 'PCA8', 'PCA9', 'PCA10']",1.661019430684408,0.3226773226773227,1.1408514912664633,0.2757242757242757,False,0.5583720627198888,False,0.48556752981531737
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,False,[],"[0.49555613023086914, 0.15553136528454042, 0.11089795291276688, 0.49555613023086914, 0.5974358245868167, 0.11089795291276688, 0.8099202027068861, 0.9342393414808573, 0.49555613023086914, 0.11089795291276688]","[0.28342376616522125, 0.06221254611381617, 0.018282244729201817, 0.29850025147313874, 0.4779486596694533, 0.03326938587383006, 0.7289281824361975, 0.9342393414808573, 0.3468892911616084, 0.025891721975398508]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6', 'PCA7', 'PCA8', 'PCA9', 'PCA10']",2.1580828602666045,0.15484515484515485,1.4202448549645008,0.01998001998001998,False,0.48252718155630775,False,0.11360068502925645
