genotype,control,significant,significant_PCs,num_significant_PCs,permutation_pval,PCA1_pval,PCA1_pval_corrected,PCA1_significant,PCA2_pval,PCA2_pval_corrected,PCA2_significant,PCA3_pval,PCA3_pval_corrected,PCA3_significant,PCA4_pval,PCA4_pval_corrected,PCA4_significant,PCA5_pval,PCA5_pval_corrected,PCA5_significant,PCA6_pval,PCA6_pval_corrected,PCA6_significant,PCA7_pval,PCA7_pval_corrected,PCA7_significant,PCA8_pval,PCA8_pval_corrected,PCA8_significant,PCA9_pval,PCA9_pval_corrected,PCA9_significant,PCA10_pval,PCA10_pval_corrected,PCA10_significant
R78A01 (ExR1 (EB)),Empty-Gal4,True,"['PCA1', 'PCA2', 'PCA4', 'PCA6']",4,0.0019980019980019,0.016907445097637797,0.04226861274409449,True,0.005110005987414057,0.03307237361555043,True,0.0846530330989827,0.12093290442711815,False,0.009921712084665128,0.03307237361555043,True,0.068877950232121,0.12093290442711815,False,0.00682837709231365,0.03307237361555043,True,0.18918230992030094,0.23647788740037617,False,0.6016446404961844,0.6684940449957604,False,0.9873785512460885,0.9873785512460885,False,0.0846530330989827,0.12093290442711815,False
R59B10-gal4 (R4m - medial (EB)),Empty-Gal4,True,"['PCA1', 'PCA4', 'PCA10']",3,0.0089910089910089,0.0008698134558893509,0.004349067279446754,True,0.13338334465514512,0.22230557442524188,False,0.13338334465514512,0.22230557442524188,False,0.00018139827054642612,0.0018139827054642612,True,0.04726269818947012,0.11815674547367529,False,0.20789684799610975,0.29699549713729967,False,0.7430771478039212,0.7958091685190174,False,0.6662568120253349,0.7958091685190174,False,0.7958091685190174,0.7958091685190174,False,0.004419989264755074,0.01473329754918358,True
R80C07-gal4 (ER3d (EB)),Empty-Gal4,True,"['PCA3', 'PCA4', 'PCA5']",3,0.0189810189810189,0.0905192333421713,0.1810384666843426,False,0.11732270519879959,0.1955378419979993,False,0.00682837709231365,0.030164468381830827,True,0.009049340514549248,0.030164468381830827,True,0.00022789861951546706,0.0022789861951546704,True,0.41979076804604143,0.5247384600575518,False,0.7879850135276372,0.7879850135276372,False,0.23544562486885767,0.3363508926697967,False,0.07384365056328972,0.1810384666843426,False,0.7879850135276372,0.7879850135276372,False
51988 (Dh31-GAL4 2M),Empty-Gal4,True,[],0,0.0089910089910089,0.2803644128253382,0.4818563800024364,False,0.38548510400194913,0.4818563800024364,False,0.011774353332824679,0.058871766664123394,False,0.03612638236862471,0.12042127456208238,False,0.9157145051522164,0.9157145051522164,False,0.005557010032320622,0.055570100323206216,False,0.8822111206344694,0.9157145051522164,False,0.15614169730137287,0.39035424325343215,False,0.3627341405072215,0.4818563800024364,False,0.3198168473325793,0.4818563800024364,False
51983 (Mip-GAL4 1M),Empty-Gal4,True,[],0,0.0039960039960039,0.6263761011321025,0.7829701264151281,False,0.12230558118077423,0.40768527060258075,False,0.40908731422135114,0.6193268380664004,False,0.07199203602952622,0.3599601801476311,False,0.4335287866464803,0.6193268380664004,False,0.7831879835419842,0.8702088706022046,False,0.26193283344736606,0.5238656668947321,False,0.9157145051522164,0.9157145051522164,False,0.2117255824820854,0.5238656668947321,False,0.00922765667861397,0.09227656678613969,False
51984 (Mip-GAL4 2M),Empty-Gal4,True,['PCA4'],1,0.0049950049950049,0.41979076804604143,0.6931689788470266,False,0.14999297257278157,0.3749824314319539,False,0.6238520809623239,0.6931689788470266,False,0.0027911658932925063,0.027911658932925063,True,0.6016446404961844,0.6931689788470266,False,0.010868230307152529,0.05434115153576264,False,0.812432208131742,0.812432208131742,False,0.5798009470581065,0.6931689788470266,False,0.5166025822370435,0.6931689788470266,False,0.016907445097637797,0.05635815032545933,False
R15B07-gal4 (R1/R3/R4d (EB)),Empty-Gal4,True,['PCA2'],1,0.0179820179820179,0.7879850135276372,0.861855796318015,False,0.0005974088369432752,0.0059740883694327515,True,0.0905192333421713,0.19341625217681008,False,0.31895098736180794,0.3986887342022599,False,0.861855796318015,0.861855796318015,False,0.015505451716633825,0.07752725858316913,False,0.09670812608840504,0.19341625217681008,False,0.17874135975693473,0.2553447996527639,False,0.17874135975693473,0.2553447996527639,False,0.0846530330989827,0.19341625217681008,False
R14G09 (ExR4 (EB)),Empty-Gal4,True,[],0,0.0199800199800199,0.09670812608840504,0.5958045325231158,False,0.12491355360268398,0.5958045325231158,False,0.6464067390155086,0.861855796318015,False,0.17874135975693473,0.5958045325231158,False,0.861855796318015,0.861855796318015,False,0.7637449284635762,0.861855796318015,False,0.7637449284635762,0.861855796318015,False,0.4017932346855225,0.861855796318015,False,0.7159745798891979,0.861855796318015,False,0.8370636154898536,0.861855796318015,False
MB465C (MB-CSD),Empty-Split,True,[],0,0.0419580419580419,0.9369558676699575,1.0,False,0.07384365056328972,0.2461455018776324,False,0.17874135975693473,0.35748271951386945,False,1.0,1.0,False,0.537265926636113,0.7675227523373043,False,0.4765462117850495,0.7675227523373043,False,0.132881986620485,0.3322049665512125,False,1.0,1.0,False,0.023687526472014643,0.23687526472014642,False,0.07384365056328972,0.2461455018776324,False
c316 (MB-DPM),Empty-Gal4,True,"['PCA1', 'PCA4', 'PCA5', 'PCA9']",4,0.0249750249750249,0.013005082329287907,0.032512705823219766,True,0.0905192333421713,0.1810384666843426,False,0.43825357196871007,0.6260765313838715,False,0.0003717844394774219,0.003717844394774219,True,0.0010581352212983269,0.005290676106491634,True,0.861855796318015,0.9369558676699575,False,0.9369558676699575,0.9369558676699575,False,0.2750389932009092,0.4583983220015153,False,0.00682837709231365,0.022761256974378835,True,0.6464067390155086,0.8080084237693858,False
