Nickname,Control,MannWhitney_any_dim_significant,MannWhitney_significant_dims,MannWhitney_corrected_pvals,MannWhitney_raw_pvals,MannWhitney_dims_tested,Permutation_stat,Permutation_pval,Mahalanobis_stat,Mahalanobis_pval,Permutation_FDR_significant,Permutation_FDR_pval,Mahalanobis_FDR_significant,Mahalanobis_FDR_pval
KC-α/βc-GaL4,Empty-Split,True,"['SparsePCA1', 'SparsePCA2']","[4.627805182410348e-05, 0.0014926581166993897, 0.6408514963270694, 0.9725234705442696, 0.6408514963270694, 0.3028784290089038, 0.058242829710155625, 0.9725234705442696, 0.6408514963270694, 0.7567480311930905]","[4.627805182410348e-06, 0.00029853162333987797, 0.3348359525493185, 0.9725234705442696, 0.40843843531142543, 0.12115137160356154, 0.017472848913046686, 0.9177005935174078, 0.44859604742894854, 0.6053984249544725]","['SparsePCA1', 'SparsePCA2', 'SparsePCA3', 'SparsePCA4', 'SparsePCA5', 'SparsePCA6', 'SparsePCA7', 'SparsePCA8', 'SparsePCA9', 'SparsePCA10']",2.508655804602909,0.000999000999000999,1.6885181902900794,0.000999000999000999,True,0.004848809726858507,True,0.006626706626706627
72D07-GAL4,Empty-Gal4,True,"['SparsePCA1', 'SparsePCA2', 'SparsePCA3', 'SparsePCA4', 'SparsePCA10']","[0.0006025828782049212, 2.561142726078457e-05, 0.004537191647619825, 0.004303234590345525, 0.7325520287595464, 0.9868335403179407, 0.9868335403179407, 0.05105314766339648, 0.3447538964513383, 0.008609387370332736]","[0.00012051657564098423, 2.561142726078457e-06, 0.0018148766590479304, 0.0012909703771036573, 0.5860416230076372, 0.9868335403179407, 0.9605149582960633, 0.030631888598037886, 0.24132772751593679, 0.004304693685166368]","['SparsePCA1', 'SparsePCA2', 'SparsePCA3', 'SparsePCA4', 'SparsePCA5', 'SparsePCA6', 'SparsePCA7', 'SparsePCA8', 'SparsePCA9', 'SparsePCA10']",27.09682492427909,0.002997002997002997,1.708848608772537,0.000999000999000999,True,0.009175439944670714,True,0.006626706626706627
KC-γmain-GaL4,Empty-Split,True,"['SparsePCA1', 'SparsePCA2', 'SparsePCA6', 'SparsePCA7']","[0.005336919614803237, 0.0076376278799069304, 0.5034054862697168, 0.7047778292539938, 0.7047778292539938, 0.007244167333294704, 0.005036704754827805, 0.5034054862697168, 0.5034054862697168, 0.7047778292539938]","[0.0010673839229606475, 0.0030550511519627723, 0.3523838403888018, 0.6296571659649659, 0.7047778292539938, 0.002173250199988411, 0.0005036704754827805, 0.3348359525493185, 0.3348359525493185, 0.6793704322713003]","['SparsePCA1', 'SparsePCA2', 'SparsePCA3', 'SparsePCA4', 'SparsePCA5', 'SparsePCA6', 'SparsePCA7', 'SparsePCA8', 'SparsePCA9', 'SparsePCA10']",7.359920036543398,0.001998001998001998,1.4265236057365893,0.01998001998001998,True,0.006739023688176231,True,0.040161858343676526
LC26,Empty-Split,True,['SparsePCA2'],"[0.05549845990418348, 0.007570230615259792, 0.5118949524984003, 0.8429507908219149, 0.5118949524984003, 0.4137237561087126, 0.5220711587947849, 0.7540995616908917, 0.5118949524984003, 0.19534767023236307]","[0.011099691980836697, 0.0007570230615259792, 0.32187973137229964, 0.8429507908219149, 0.2565051861805062, 0.16548950244348504, 0.417656927035828, 0.6786896055218025, 0.35832646674888025, 0.05860430106970892]","['SparsePCA1', 'SparsePCA2', 'SparsePCA3', 'SparsePCA4', 'SparsePCA5', 'SparsePCA6', 'SparsePCA7', 'SparsePCA8', 'SparsePCA9', 'SparsePCA10']",2.1094974948501513,0.003996003996003996,1.3918949140958292,0.04295704295704296,True,0.011360068502925645,False,0.07306368844830384
20G07-GAL4,Empty-Gal4,True,['SparsePCA1'],"[0.007680217170479877, 0.3744801858892588, 0.1850039516735702, 0.36770929008256126, 0.9587239784368091, 0.5814127618065893, 0.1850039516735702, 0.36770929008256126, 0.36770929008256126, 0.5218312603671316]","[0.0007680217170479877, 0.26213613012248116, 0.05550118550207106, 0.20789684799610975, 0.9587239784368091, 0.5232714856259304, 0.04354527380404283, 0.1729204968703134, 0.22062557404953675, 0.41746500829370525]","['SparsePCA1', 'SparsePCA2', 'SparsePCA3', 'SparsePCA4', 'SparsePCA5', 'SparsePCA6', 'SparsePCA7', 'SparsePCA8', 'SparsePCA9', 'SparsePCA10']",2.1314450931604827,0.6123876123876124,1.2931049039280913,0.1108891108891109,False,0.677028527028527,False,0.14055371380212145
44H11-GAL4,Empty-Gal4,True,['SparsePCA1'],"[0.02028962225775445, 0.6794639566455412, 0.9223691562669061, 0.9223691562669061, 0.3349262711598254, 0.9223691562669061, 0.9223691562669061, 0.9101774130572182, 0.9868335403179407, 0.9223691562669061]","[0.0020289622257754453, 0.20383918699366232, 0.779061857710557, 0.7042746132087777, 0.06698525423196508, 0.8301322406402155, 0.8301322406402155, 0.3640709652228873, 0.9868335403179407, 0.4779486596694533]","['SparsePCA1', 'SparsePCA2', 'SparsePCA3', 'SparsePCA4', 'SparsePCA5', 'SparsePCA6', 'SparsePCA7', 'SparsePCA8', 'SparsePCA9', 'SparsePCA10']",3.9328792704981024,0.4695304695304695,1.0553453841793192,0.5054945054945055,False,0.5400957424078812,False,0.5266670502272596
KC-γd-GaL4,Empty-Split,True,"['SparsePCA1', 'SparsePCA2']","[0.0012051657564098423, 0.01938928750932627, 0.80449274880142, 0.48265545503187357, 0.7735291320558683, 0.33292115382738213, 0.33292115382738213, 0.80449274880142, 0.80449274880142, 0.4975004191218979]","[0.00012051657564098423, 0.0038778575018652544, 0.6799279308955285, 0.24132772751593679, 0.5414703924391078, 0.11694331449775575, 0.13316846153095285, 0.7289281824361975, 0.80449274880142, 0.29850025147313874]","['SparsePCA1', 'SparsePCA2', 'SparsePCA3', 'SparsePCA4', 'SparsePCA5', 'SparsePCA6', 'SparsePCA7', 'SparsePCA8', 'SparsePCA9', 'SparsePCA10']",4.091761319429538,0.000999000999000999,1.4794254394578967,0.005994005994005994,True,0.004848809726858507,True,0.015292399907784525
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,False,[],"[0.1438396405924201, 0.1438396405924201, 0.1438396405924201, 0.4220363019813762, 0.4220363019813762, 0.4738965509001579, 0.1438396405924201, 0.5863913969445311, 0.4738965509001579, 0.1438396405924201]","[0.01909362002768943, 0.07191982029621005, 0.03280683477022207, 0.2954254113869633, 0.27653086126094806, 0.4025728765770332, 0.07191982029621005, 0.5863913969445311, 0.4265068958101421, 0.054206771415141776]","['SparsePCA1', 'SparsePCA2', 'SparsePCA3', 'SparsePCA4', 'SparsePCA5', 'SparsePCA6', 'SparsePCA7', 'SparsePCA8', 'SparsePCA9', 'SparsePCA10']",7.766691943573206,0.000999000999000999,1.3374147066137683,0.14385614385614387,True,0.004848809726858507,False,0.1724540519721243
LPLC2,Empty-Split,True,"['SparsePCA1', 'SparsePCA7', 'SparsePCA8']","[0.00039718290400956284, 0.07044001516831319, 0.43166619013676644, 0.4723729436087021, 0.8819307212779461, 0.5974358245868167, 0.0019406296663458966, 0.042357355570270934, 0.5974358245868167, 0.8376281442980822]","[3.971829040095629e-05, 0.028176006067325277, 0.21583309506838322, 0.28342376616522125, 0.8819307212779461, 0.43797600121511027, 0.00038812593326917935, 0.01270720667108128, 0.4779486596694533, 0.753865329868274]","['SparsePCA1', 'SparsePCA2', 'SparsePCA3', 'SparsePCA4', 'SparsePCA5', 'SparsePCA6', 'SparsePCA7', 'SparsePCA8', 'SparsePCA9', 'SparsePCA10']",2.699134472667469,0.000999000999000999,1.7129766217302773,0.000999000999000999,True,0.004848809726858507,True,0.006626706626706627
25681 (NPF-GAL4 2),Empty-Gal4,True,"['SparsePCA1', 'SparsePCA2', 'SparsePCA6', 'SparsePCA10']","[0.04604873015971512, 0.01018570394430243, 0.05577252948493493, 0.06361673677576912, 0.23647788740037617, 0.01018570394430243, 0.06361673677576912, 0.3375890334309381, 0.692486835516168, 0.0362274343571751]","[0.01841949206388605, 0.0020371407888604863, 0.027886264742467463, 0.04128168070817079, 0.18918230992030094, 0.0020371407888604863, 0.04453171574303838, 0.3038301300878443, 0.692486835516168, 0.010868230307152529]","['SparsePCA1', 'SparsePCA2', 'SparsePCA3', 'SparsePCA4', 'SparsePCA5', 'SparsePCA6', 'SparsePCA7', 'SparsePCA8', 'SparsePCA9', 'SparsePCA10']",3.729260291427662,0.015984015984015984,1.5272081707162368,0.004995004995004995,True,0.032791950317723514,True,0.014405883971101362
