genotype,control,significant,significant_PCs,num_significant_PCs,permutation_pval,PC1_pval,PC1_pval_corrected,PC1_significant,PC1_direction,PC2_pval,PC2_pval_corrected,PC2_significant,PC2_direction,PC3_pval,PC3_pval_corrected,PC3_significant,PC3_direction,PC4_pval,PC4_pval_corrected,PC4_significant,PC4_direction,PC5_pval,PC5_pval_corrected,PC5_significant,PC5_direction,PC6_pval,PC6_pval_corrected,PC6_significant,PC6_direction,PC7_pval,PC7_pval_corrected,PC7_significant,PC7_direction,PC8_pval,PC8_pval_corrected,PC8_significant,PC8_direction,PC9_pval,PC9_pval_corrected,PC9_significant,PC9_direction,PC10_pval,PC10_pval_corrected,PC10_significant,PC10_direction
R78A01 (ExR1 (EB)),Empty-Gal4,True,"['SparsePCA3', 'SparsePCA7', 'SparsePCA8', 'SparsePCA10']",4,0.0009990009990009,0.11009878371155198,0.13762347963943997,False,1,0.07909826263265422,0.1129975180466489,False,1,0.00013759535570811754,0.0013759535570811753,True,-1,0.068877950232121,0.1129975180466489,False,-1,0.43769279471152267,0.43769279471152267,False,1,0.14123841781192514,0.1569315753465835,False,-1,0.009044897588158749,0.02973542458351959,True,-1,0.011894169833407837,0.02973542458351959,True,1,0.025226476059053534,0.05045295211810707,False,-1,0.0009455919019482447,0.0047279595097412235,True,-1
R59B10-gal4 (R4m - medial (EB)),Empty-Gal4,True,"['SparsePCA3', 'SparsePCA5']",2,0.0089910089910089,0.15217643930972224,0.3043528786194445,False,1,0.2926390096790019,0.4180557281128599,False,1,0.001111925301194177,0.005559626505970885,True,-1,0.5010656805974567,0.5567396451082852,False,-1,0.0004593225776473044,0.004593225776473044,True,1,0.20789684799610975,0.34649474666018293,False,1,0.03378735884480814,0.11262452948269379,False,-1,0.5010656805974567,0.5567396451082852,False,1,0.8607700544953536,0.8607700544953536,False,1,0.060049682085530416,0.15012420521382602,False,-1
R80C07-gal4 (ER3d (EB)),Empty-Gal4,True,['SparsePCA5'],1,0.0169830169830169,0.5583365375081784,0.6979206718852229,False,-1,0.16873524285558883,0.33747048571117766,False,1,0.132881986620485,0.33747048571117766,False,-1,0.4017932346855225,0.5739903352650322,False,1,0.001178635759184195,0.01178635759184195,True,1,0.16873524285558883,0.33747048571117766,False,-1,0.15904810677122272,0.33747048571117766,False,-1,0.9369558676699575,0.9744189925805857,False,-1,0.9744189925805857,0.9744189925805857,False,1,0.4017932346855225,0.5739903352650322,False,-1
51988 (Dh31-GAL4 2M),Empty-Gal4,True,[],0,0.0049950049950049,0.8822111206344694,0.8822111206344694,False,1,0.8158906470894022,0.8822111206344694,False,1,0.023522770031442226,0.07840923343814075,False,-1,0.6263761011321025,0.7829701264151281,False,-1,0.13279539648494482,0.26559079296988963,False,1,0.0071844948522222256,0.07184494852222226,False,-1,0.08640162698491616,0.2160040674622904,False,-1,0.4587940522130931,0.6554200745901331,False,1,0.36399731510382694,0.6066621918397116,False,-1,0.0210454020101221,0.07840923343814075,False,-1
51983 (Mip-GAL4 1M),Empty-Gal4,True,['SparsePCA5'],1,0.0039960039960039,0.16887281286174516,0.3377456257234903,False,-1,0.29965770663669156,0.42598658634010994,False,1,0.22762429416533925,0.37937382360889876,False,1,0.8158906470894022,0.9065451634326691,False,-1,0.0017281324316995106,0.017281324316995104,True,1,0.03612638236862471,0.18063191184312355,False,1,0.34078926907208795,0.42598658634010994,False,-1,0.09449113187010387,0.3149704395670129,False,1,0.13415443022067353,0.3353860755516838,False,1,0.9831126875838702,0.9831126875838702,False,-1
51984 (Mip-GAL4 2M),Empty-Gal4,True,"['SparsePCA3', 'SparsePCA10']",2,0.0019980019980019,0.3842667981691905,0.42696310907687834,False,1,0.23544562486885767,0.2943070310860721,False,1,0.005633616187076086,0.028168080935380427,True,-1,0.12491355360268398,0.18983140945783572,False,-1,0.06413855621314288,0.15819652526530845,False,1,0.132881986620485,0.18983140945783572,False,-1,0.018411968927140938,0.06137322975713646,False,-1,0.07909826263265422,0.15819652526530845,False,1,0.9229137143282875,0.9229137143282875,False,-1,0.0027911658932925063,0.027911658932925063,True,-1
51985 (Ms-GAL4 1M),Empty-Gal4,True,[],0,0.0389610389610389,0.11239908770654287,0.4075467223975066,False,1,0.9831126875838702,0.9831126875838702,False,1,0.09449113187010387,0.4075467223975066,False,-1,0.6566808075579458,0.9750744423689557,False,-1,0.1965956482964385,0.49148912074109624,False,1,0.6875610761271713,0.9750744423689557,False,-1,0.12226401671925198,0.4075467223975066,False,-1,0.8158906470894022,0.9750744423689557,False,1,0.8775669981320602,0.9750744423689557,False,-1,0.26193283344736606,0.5238656668947321,False,-1
R15B07-gal4 (R1/R3/R4d (EB)),Empty-Gal4,True,[],0,0.0189810189810189,0.911826411753384,0.911826411753384,False,1,0.0846530330989827,0.14108838849830452,False,-1,0.06418997117728065,0.1283799423545613,False,-1,0.911826411753384,0.911826411753384,False,-1,0.8741681364630012,0.911826411753384,False,-1,0.027886264742467463,0.06971566185616865,False,-1,0.023678536454268106,0.06971566185616865,False,-1,0.911826411753384,0.911826411753384,False,1,0.022870609104954625,0.06971566185616865,False,-1,0.01841949206388605,0.06971566185616865,False,-1
R14G09 (ExR4 (EB)),Empty-Gal4,True,['SparsePCA1'],1,0.0209790209790209,0.004192622832979163,0.04192622832979163,True,-1,0.0905192333421713,0.45259616671085645,False,1,0.35064512183188634,0.6996512800767357,False,1,0.41979076804604143,0.6996512800767357,False,1,0.5161973117458454,0.7374247310654934,False,1,0.812432208131742,0.812432208131742,False,1,0.8123136442578727,0.812432208131742,False,-1,0.3038301300878443,0.6996512800767357,False,1,0.6299062776276962,0.7873828470346202,False,1,0.21140013326822704,0.6996512800767357,False,1
MB465C (MB-CSD),Empty-Split,True,['SparsePCA9'],1,0.0309690309690309,0.5166025822370435,0.5740028691522705,False,1,0.132881986620485,0.3749824314319539,False,1,0.41979076804604143,0.5740028691522705,False,1,0.14999297257278157,0.3749824314319539,False,-1,0.07620694682868052,0.3749824314319539,False,1,0.2481686938067007,0.4963373876134014,False,1,0.4963311905254427,0.5740028691522705,False,-1,0.9873785512460885,0.9873785512460885,False,1,0.0028468210816468436,0.028468210816468435,True,1,0.4765462117850495,0.5740028691522705,False,1
c316 (MB-DPM),Empty-Gal4,True,"['SparsePCA5', 'SparsePCA7', 'SparsePCA8', 'SparsePCA10']",4,0.0169830169830169,0.22319125752825608,0.2789890719103201,False,-1,0.4017932346855225,0.4017932346855225,False,1,0.035381335266633125,0.06880280118028465,False,-1,0.2750389932009092,0.30559888133434354,False,-1,0.001825748407375841,0.0045643710184396025,True,1,0.04128168070817079,0.06880280118028465,False,-1,0.0014702212760512696,0.0045643710184396025,True,-1,0.000753017169769502,0.0045643710184396025,True,1,0.10827830566500046,0.15468329380714352,False,-1,0.0011829627696506929,0.0045643710184396025,True,-1
VT43924 (MB-APL),Empty-Gal4,True,"['SparsePCA1', 'SparsePCA3', 'SparsePCA4', 'SparsePCA6', 'SparsePCA10']",5,0.0009990009990009,0.0034898234723606046,0.01076173421291592,True,-1,0.04955414548944343,0.08088973202506428,False,1,0.0031374482566353763,0.01076173421291592,True,-1,0.004304693685166368,0.01076173421291592,True,1,0.056622812417544986,0.08088973202506428,False,-1,0.0010234878964025895,0.010234878964025895,True,-1,0.12989789995936457,0.12989789995936457,False,1,0.08917734242989683,0.0990859360332187,False,1,0.0732270584891945,0.09153382311149312,False,-1,0.018282244729201817,0.03656448945840363,True,1
LC10-2,Empty-Split,True,[],0,0.0149850149850149,0.07909826263265422,0.1955378419979993,False,1,0.21140013326822704,0.3020001903831815,False,-1,0.0257128556670833,0.18529045683625192,False,-1,0.11732270519879959,0.1955378419979993,False,-1,0.5160349204514326,0.537265926636113,False,1,0.11009878371155198,0.1955378419979993,False,1,0.055587137050875576,0.18529045683625192,False,-1,0.537265926636113,0.537265926636113,False,1,0.2750964927843038,0.34387061598037977,False,-1,0.04453171574303838,0.18529045683625192,False,-1
86685 (LH272),Empty-Split,True,"['SparsePCA4', 'SparsePCA5']",2,0.0469530469530469,0.8644146411554804,0.9895199492704789,False,1,0.9895199492704789,0.9895199492704789,False,1,0.221869851827308,0.443739703654616,False,1,0.00514532446280906,0.030078287343048106,True,-1,0.006015657468609621,0.030078287343048106,True,1,0.4079446987715286,0.6799078312858811,False,1,0.03444230448028425,0.08610576120071062,False,-1,0.6457092649508533,0.9224418070726477,False,1,0.9439564833812223,0.9895199492704789,False,1,0.026429337854344245,0.08610576120071062,False,-1
GMR70G12-Gal4,Empty-Gal4,True,[],0,0.0319680319680319,0.04799502317638509,0.15998341058795032,False,-1,0.5166025822370435,0.6715824082951412,False,1,0.692486835516168,0.7694298172401866,False,1,0.537265926636113,0.6715824082951412,False,-1,0.018381888760239037,0.15998341058795032,False,1,0.07909826263265422,0.19774565658163554,False,1,0.11007589244389848,0.22015178488779696,False,-1,0.9873785512460885,0.9873785512460885,False,-1,0.03963100515468488,0.15998341058795032,False,1,0.4963589047945871,0.6715824082951412,False,-1
MB247-Gal4,Empty-Gal4,True,['SparsePCA1'],1,0.0059940059940059,0.00022789861951546706,0.0022789861951546704,True,-1,0.6464067390155086,0.7182297100172318,False,1,0.886784835609217,0.886784835609217,False,1,0.07909826263265422,0.3441031006679024,False,1,0.4283992494454252,0.7182297100172318,False,-1,0.45717472658891667,0.7182297100172318,False,-1,0.6236286198474463,0.7182297100172318,False,1,0.10323093020037072,0.3441031006679024,False,1,0.5652421002257548,0.7182297100172318,False,1,0.18918230992030094,0.47295577480075235,False,1
