Genotype,Metric,Cohen_d,Direction,MW_pval,MW_significant,Perm_pval,Perm_significant,pval_difference,Agreement
72D07-GAL4,chamber_exit_time,-0.0847136567868137,-1,0.0001357364470342,True,1.0,False,0.9998642635529658,"DISAGREE: MW-yes, Perm-no"
51983 (Mip-GAL4 1M),chamber_exit_time,-0.1618968465881288,-1,0.0007578379273614,True,1.0,False,0.9992421620726386,"DISAGREE: MW-yes, Perm-no"
86615 (LH2201),chamber_exit_time,0.7287012760203617,1,0.015228429204051,False,0.0004999500049995,True,0.0147284791990515,"DISAGREE: MW-no, Perm-yes"
9998 (OR67d-GAL4),chamber_exit_time,-0.1688205238066698,-1,0.0074726715528225,True,0.9976002399760024,False,0.99012756842318,"DISAGREE: MW-yes, Perm-no"
854 (OK107-Gal4),chamber_exit_time,-0.1216779673511502,-1,0.0019093350425192,True,1.0,False,0.9980906649574808,"DISAGREE: MW-yes, Perm-no"
9943 (GR63a-GAL4),chamber_exit_time,-0.1612293757238483,-1,0.0200246253204232,True,0.9975002499750024,False,0.9774756246545793,"DISAGREE: MW-yes, Perm-no"
86720 (LH18),chamber_exit_time,0.9621712995989808,1,0.0422032524664506,False,0.0047995200479952,True,0.0374037324184554,"DISAGREE: MW-no, Perm-yes"
SS32230-Gal4 (LAL-1),chamber_exit_time,0.6793745255312266,1,0.0015973320866281,True,0.0121987801219878,False,0.010601448035359699,"DISAGREE: MW-yes, Perm-no"
MB296B (PPL1-03),chamber_exit_time,0.5759547072381984,1,0.0095124504310214,True,0.0314968503149685,False,0.021984399883947105,"DISAGREE: MW-yes, Perm-no"
72D07-GAL4,distance_moved,-0.8135237449255511,-1,0.0071473256415001,True,0.0130986901309869,False,0.0059513644894868,"DISAGREE: MW-yes, Perm-no"
51983 (Mip-GAL4 1M),distance_moved,0.8538159740326523,1,0.2996577066366915,False,0.0128987101289871,True,0.2867589965077044,"DISAGREE: MW-no, Perm-yes"
41731 (IR8a-GAL4),distance_moved,1.5528598828136757,1,0.0395702695473862,False,0.0056994300569943,True,0.033870839490391894,"DISAGREE: MW-no, Perm-yes"
DDC-gal4,distance_moved,0.8287494218367641,1,0.0376249902573399,False,0.0202979702029797,True,0.017327020054360202,"DISAGREE: MW-no, Perm-yes"
72D07-GAL4,distance_ratio,-0.7150667479100521,-1,0.0022659997331555,True,0.038996100389961,False,0.0367301006568055,"DISAGREE: MW-yes, Perm-no"
51983 (Mip-GAL4 1M),distance_ratio,0.8729632363292615,1,0.1123990877065428,False,0.0031996800319968,True,0.109199407674546,"DISAGREE: MW-no, Perm-yes"
MBON-08-GaL4  MBON-09-GaL4 ,distance_ratio,1.0648055390988,1,0.0354364651485023,False,0.0046995300469953,True,0.030736935101507,"DISAGREE: MW-no, Perm-yes"
41731 (IR8a-GAL4),distance_ratio,1.820244674525248,1,0.0330024666409105,False,0.0012998700129987,True,0.0317025966279118,"DISAGREE: MW-no, Perm-yes"
LC10-2,first_major_event,-1.0553114702524575,-1,0.0067486977481925,False,0.0045995400459954,True,0.0021491577021970996,"DISAGREE: MW-no, Perm-yes"
