Genotype,Metric,Cohen_d,Direction,MW_pval,MW_significant,Perm_pval,Perm_significant,pval_difference,Agreement
KC-α/βc-GaL4,chamber_exit_time,1.737053168061669,1,4.4750180231425965e-06,True,9.999000099990002e-05,True,9.551498297675741e-05,AGREE
72D07-GAL4,chamber_exit_time,-0.0847136567868137,-1,0.0001357364470342,True,1.0,False,0.9998642635529658,"DISAGREE: MW-yes, Perm-no"
KC-γmain-GaL4,chamber_exit_time,0.4087654017364262,1,0.0010579740274315,True,0.0026997300269973,True,0.0016417559995657999,AGREE
LC10-2,chamber_exit_time,0.6554428904509233,1,0.0166262633302385,False,0.0137986201379862,False,0.0028276431922522986,AGREE
51983 (Mip-GAL4 1M),chamber_exit_time,-0.1618968465881288,-1,0.0007578379273614,True,1.0,False,0.9992421620726386,"DISAGREE: MW-yes, Perm-no"
MB504B (All PPL1),chamber_exit_time,0.5478555106311355,1,0.1419039898366219,False,0.0445955404459554,False,0.09730844939066649,AGREE
MB312B (PAM-07),chamber_exit_time,0.6900123780896147,1,9.376472883301596e-06,True,9.999000099990002e-05,True,9.061352811659842e-05,AGREE
MB304B (PPL1-04),chamber_exit_time,1.1573908360693457,1,0.0001283131840587,True,9.999000099990002e-05,True,2.8323183058799977e-05,AGREE
86615 (LH2201),chamber_exit_time,0.7287012760203617,1,0.015228429204051,False,0.0004999500049995,True,0.0147284791990515,"DISAGREE: MW-no, Perm-yes"
9998 (OR67d-GAL4),chamber_exit_time,-0.1688205238066698,-1,0.0074726715528225,True,0.9976002399760024,False,0.99012756842318,"DISAGREE: MW-yes, Perm-no"
MBON-08-GaL4  MBON-09-GaL4 ,chamber_exit_time,0.6754998174098612,1,0.0436164731452055,False,0.0884911508849115,False,0.04487467773970599,AGREE
854 (OK107-Gal4),chamber_exit_time,-0.1216779673511502,-1,0.0019093350425192,True,1.0,False,0.9980906649574808,"DISAGREE: MW-yes, Perm-no"
41731 (IR8a-GAL4),chamber_exit_time,-0.1818405976973301,-1,0.0148950065366693,False,0.9684031596840316,False,0.9535081531473623,AGREE
9943 (GR63a-GAL4),chamber_exit_time,-0.1612293757238483,-1,0.0200246253204232,True,0.9975002499750024,False,0.9774756246545793,"DISAGREE: MW-yes, Perm-no"
75823 (LH2446),chamber_exit_time,0.7897153156628981,1,0.0070508480372434,True,0.0101989801019898,True,0.0031481320647463997,AGREE
86685 (LH272),chamber_exit_time,0.4708865439066987,1,0.0302653498582199,False,0.0958904109589041,False,0.06562506110068421,AGREE
LC16-1,chamber_exit_time,0.7006542350924246,1,0.0014210499779831,True,0.0010998900109989,True,0.0003211599669842001,AGREE
86720 (LH18),chamber_exit_time,0.9621712995989808,1,0.0422032524664506,False,0.0047995200479952,True,0.0374037324184554,"DISAGREE: MW-no, Perm-yes"
SS32219-Gal4 (LAL-2),chamber_exit_time,1.110841019029836,1,0.0007204611569541,True,0.003999600039996,True,0.0032791388830419,AGREE
DDC-gal4,chamber_exit_time,-0.334233033101951,-1,0.3954438995819235,False,0.5660433956604339,False,0.17059949607851044,AGREE
MB434B,chamber_exit_time,0.3348224537185166,1,0.1506828841036292,False,0.32996700329967,False,0.1792841191960408,AGREE
MB418B ,chamber_exit_time,0.9643888539909652,1,0.0001749864499985,True,0.0002999700029997,True,0.0001249835530012,AGREE
SS32230-Gal4 (LAL-1),chamber_exit_time,0.6793745255312266,1,0.0015973320866281,True,0.0121987801219878,False,0.010601448035359699,"DISAGREE: MW-yes, Perm-no"
LC22,chamber_exit_time,0.9671072736637354,1,0.0001155713596438,True,9.999000099990002e-05,True,1.558135864389999e-05,AGREE
75945 (LH1543),chamber_exit_time,0.6564442166619164,1,0.0771450630165823,False,0.0481951804819518,False,0.028949882534630503,AGREE
MB296B (PPL1-03),chamber_exit_time,0.5759547072381984,1,0.0095124504310214,True,0.0314968503149685,False,0.021984399883947105,"DISAGREE: MW-yes, Perm-no"
50742 (MB247-GAL4),chamber_exit_time,-0.219558135852737,-1,0.0308680723859679,False,0.9736026397360265,False,0.9427345673500586,AGREE
86707 (LH578),chamber_exit_time,1.0318960675096365,1,0.0022418644763124,True,0.0042995700429957,True,0.0020577055666832996,AGREE
MB310C,chamber_exit_time,1.3624188605706322,1,2.5085038320206723e-05,True,9.999000099990002e-05,True,7.49049626796933e-05,AGREE
KC-α/βc-GaL4,chamber_ratio,-0.1734398969218727,-1,0.6793704322713003,False,0.6236376362363764,False,0.05573279603492398,AGREE
72D07-GAL4,chamber_ratio,-0.1614899143648588,-1,0.9342393414808572,False,0.6366363363663634,False,0.2976030051144938,AGREE
KC-γmain-GaL4,chamber_ratio,0.1699932468964665,1,0.7828950572330956,False,0.6304369563043696,False,0.15245810092872603,AGREE
LC10-2,chamber_ratio,0.0626023443532472,1,0.753865329868274,False,0.8563143685631437,False,0.10244903869486965,AGREE
51983 (Mip-GAL4 1M),chamber_ratio,-0.4586071416340611,-1,0.3627341405072215,False,0.228977102289771,False,0.13375703821745052,AGREE
MB504B (All PPL1),chamber_ratio,0.356642311462397,1,0.3794626650711514,False,0.3405659434056594,False,0.03889672166549202,AGREE
MB312B (PAM-07),chamber_ratio,0.3247740384644134,1,0.4694868880489569,False,0.3521647835216478,False,0.11732210452730907,AGREE
MB304B (PPL1-04),chamber_ratio,-0.141822358232915,-1,0.9725213720865156,False,0.684931506849315,False,0.28758986523720054,AGREE
86615 (LH2201),chamber_ratio,0.6998563599632903,1,0.0738511512778358,False,0.0767923207679232,False,0.0029411694900873947,AGREE
9998 (OR67d-GAL4),chamber_ratio,-0.1391027712952318,-1,0.4197907680460414,False,0.6801319868013199,False,0.26034121875527855,AGREE
MBON-08-GaL4  MBON-09-GaL4 ,chamber_ratio,-1.1115062941288392,-1,0.0108920622383653,True,0.0077992200779922,True,0.0030928421603731004,AGREE
854 (OK107-Gal4),chamber_ratio,-1.018714504135958,-1,0.0071473256415001,True,0.0051994800519948,True,0.0019478455895052997,AGREE
41731 (IR8a-GAL4),chamber_ratio,-0.7556574143865175,-1,0.1365270884721685,False,0.1223877612238776,False,0.014139327248290895,AGREE
9943 (GR63a-GAL4),chamber_ratio,-1.016738954571062,-1,0.0099217120846651,True,0.0041995800419958,True,0.005722132042669301,AGREE
75823 (LH2446),chamber_ratio,-0.1828382338749438,-1,0.934234746352558,False,0.5858414158584142,False,0.3483933304941438,AGREE
86685 (LH272),chamber_ratio,-0.2665051522505059,-1,0.7634480493898457,False,0.4138586141385861,False,0.3495894352512596,AGREE
LC16-1,chamber_ratio,0.0568190668911566,1,0.4779486596694533,False,0.8678132186781322,False,0.3898645590086789,AGREE
