,max_event,head_pushing_ratio,distance_ratio,interaction_persistence,significant_ratio,velocity_during_interactions,distance_moved,nb_events,chamber_ratio,chamber_exit_time,has_finished,first_major_event_time,flailing,fraction_not_facing_ball,first_major_event,final_event,chamber_time,max_event_time,normalized_velocity,nb_freeze,pulled,persistence_at_end,pulling_ratio,time_chamber_beginning,total_pause_duration,velocity_trend
max_event,1.0,0.10124591375437016,0.3985528003338533,-0.08111098222366314,-0.38514119526027085,0.02789239233074213,0.5898289169941907,0.3746111509184753,-0.3727412361909579,-0.030370937735651565,-0.07679570103215054,-0.01283599571961248,0.07306079396915156,-0.03242305701732663,0.45675662002296463,0.7648315329849166,0.1457397923086057,0.5207514577173091,-0.06192808829071845,0.0963277848246548,0.6212137431486658,-0.1364022439248841,0.35989403187674446,0.056207801736214154,0.33772509207651397,0.020166801992282962
head_pushing_ratio,0.10124591375437016,1.0,0.05919218907707968,-0.07068126010474626,-0.10056085177875926,0.06577506541690302,0.06167534190462734,0.01885661867243301,-0.010474378090525401,0.028991791337855746,-0.07824015928614945,0.09435891192654074,0.04017894810210042,-0.030813132581384,0.07417200836608384,0.07688254035896862,0.11139646022349471,0.13144270291845925,0.03531908877617703,0.036692717492616524,0.07793229504244868,-0.15151826782893263,0.07225672700576478,0.07516802670512208,0.05333791922990086,-0.011376899185255647
distance_ratio,0.3985528003338533,0.05919218907707968,1.0,-0.03176771017122813,-0.13838736789919792,-0.04475588237026151,0.6986820276558179,0.18170162166593717,-0.1647832985244105,-0.03008699433496926,-0.4465879872490746,0.03808473605572871,-0.02027302399842686,-0.005501970275902357,0.24586410808209938,0.16580569934496825,0.2824583180699105,0.18644228577517863,-0.047204783253807454,0.043224394177344694,0.8287060587041117,-0.22988164882808568,0.38994914460321584,0.0799494066223219,0.31272900975127604,0.01073997294432625
interaction_persistence,-0.08111098222366314,-0.07068126010474626,-0.03176771017122813,1.0,0.17143890487688626,-0.05213028921875152,-0.03058621254552139,-0.0321884691304527,-0.0037489393751352755,-0.006508278929476824,0.03811618427327426,-0.06691973686000623,-0.13874851095180632,0.06987616698330587,-0.06267867317820071,-0.07490946350383458,-0.09354433054995603,-0.10114514162780493,-0.030745639069392573,0.04392879997607574,-0.05058145661812203,0.15200981366477817,-0.08407407803081397,-0.14235559973091638,0.044503012398792376,0.00211253006362098
significant_ratio,-0.38514119526027085,-0.10056085177875926,-0.13838736789919792,0.17143890487688626,1.0,-0.04499382584555343,-0.07796811899184668,-0.026184679265462137,0.19562783980092546,-0.022395978544956244,0.20582700853015598,-0.27940302047137744,-0.16835824108792066,0.09755791028124582,-0.3850168163938839,-0.35907911223352096,-0.3219683843067938,-0.34018324079098694,-0.10405705194885825,0.0043505487865302265,-0.12973219550788173,0.29644663631053714,-0.16549717426738336,-0.29234422503567575,-0.19771118599554618,0.005498797692499435
velocity_during_interactions,0.02789239233074213,0.06577506541690302,-0.04475588237026151,-0.05213028921875152,-0.04499382584555343,1.0,-0.07051786605211098,-0.019216695629901616,0.10774001271242291,0.02100586396096611,-0.09500531054834556,0.10649912492474069,0.38654928618191164,0.2961623255929621,0.013063753369507453,0.021172199557038508,0.12051183899236435,0.06881726410786912,0.26686979049593446,-0.2379859370171514,-0.025729574874504422,-0.2157585268278233,-0.04975668429020807,0.12953901120940023,-0.15102975782054595,-0.5229453652681765
distance_moved,0.5898289169941907,0.06167534190462734,0.6986820276558179,-0.03058621254552139,-0.07796811899184668,-0.07051786605211098,1.0,0.38411080893892746,-0.3272913938033614,-0.04582857131634924,0.08752799181928354,-0.2603884849293943,0.02951790268874732,-0.033257517833645375,0.17656506144843706,0.5309159123301185,-0.04966110614365737,0.16313230569983178,-0.16805620414737346,0.0904543553612291,0.8594627431774142,0.0157710272140162,0.4394855388275254,-0.042465922222698835,0.2539218260795963,0.04007072408841239
nb_events,0.3746111509184753,0.01885661867243301,0.18170162166593717,-0.0321884691304527,-0.026184679265462137,-0.019216695629901616,0.38411080893892746,1.0,-0.5230895039205146,-0.06660687328557031,0.2607622816284241,-0.46358473737499134,-0.0011350162580981375,-0.04965365221923419,0.1636155208614467,0.36103786638369806,-0.5205989818597632,-0.34507077698843774,-0.2970567079999798,0.23687443963737806,0.2801079421537945,0.6333134408999714,0.18835598934669304,-0.5688091776812059,0.11883521186382996,0.009128935623856159
chamber_ratio,-0.3727412361909579,-0.010474378090525401,-0.1647832985244105,-0.0037489393751352755,0.19562783980092546,0.10774001271242291,-0.3272913938033614,-0.5230895039205146,1.0,0.104752484700929,-0.14585541193353618,0.40500688790949974,0.072848896211174,0.030474109369718682,-0.09271444923052995,-0.3784085272123109,0.4081511770223545,0.18701141195860557,0.2625930322752705,-0.24746494575840502,-0.276287637576334,-0.3875033225615769,-0.21816631302429873,0.5629246200718367,-0.25091761017590203,0.0015618331298926909
chamber_exit_time,-0.030370937735651565,0.028991791337855746,-0.03008699433496926,-0.006508278929476824,-0.022395978544956244,0.02100586396096611,-0.04582857131634924,-0.06660687328557031,0.104752484700929,1.0,-0.0405824324050038,0.1290078268158764,0.018558736433307473,0.020389236712512655,-0.01834468210628887,-0.02371696319260561,0.0789750861606514,0.023107454109648862,0.061737135460887355,-0.04751307419461144,-0.023581076887752888,-0.07069294143285743,-0.035909172645454235,0.10777225891943706,-0.006482506415647654,0.009410715296386502
