Nickname,Control,MannWhitney_any_dim_significant,MannWhitney_significant_dims,MannWhitney_corrected_pvals,MannWhitney_raw_pvals,MannWhitney_dims_tested,Permutation_stat,Permutation_pval,Mahalanobis_stat,Mahalanobis_pval,Permutation_FDR_significant,Permutation_FDR_pval,Mahalanobis_FDR_significant,Mahalanobis_FDR_pval
KC-α/βc-GaL4,Empty-Split,False,[],"[0.6026898520282838, 0.1308124573433367, 0.6026898520282838, 0.1550457184932489, 0.9369558676699575, 0.9369558676699575]","[0.4017932346855225, 0.02180207622388945, 0.4017932346855225, 0.0516819061644163, 0.9369558676699575, 0.9369558676699575]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",2.6293795527171966,0.04695304695304695,1.243458662557757,0.007992007992007992,False,0.28314110132291953,False,0.061169599631138084
72D07-GAL4,Empty-Gal4,False,[],"[0.6464067390155086, 0.4963373876134014, 0.6464067390155086, 0.15427713400249982, 0.4963373876134014, 0.6464067390155086]","[0.6464067390155086, 0.2481686938067007, 0.6464067390155086, 0.0257128556670833, 0.22319125752825608, 0.45717472658891667]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",1.2849157114121945,0.6793206793206793,0.9530072400634222,0.15484515484515485,False,0.7552224312000848,False,0.3462268069009642
KC-γmain-GaL4,Empty-Split,False,[],"[0.8031493519417069, 0.8370636154898536, 0.6857620898833751, 0.6857620898833751, 0.6857620898833751, 0.6857620898833751]","[0.6692911266180891, 0.8370636154898536, 0.45717472658891667, 0.3345561838743112, 0.22319125752825608, 0.43825357196871007]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",1.76113163903765,0.23376623376623376,0.7621821107473664,0.5594405594405595,False,0.4560733384262796,False,0.6626706626706628
LC26,Empty-Split,False,[],"[0.07646967161201748, 0.07646967161201748, 0.43378985587303676, 0.07646967161201748, 0.9873785512460885, 0.9873785512460885]","[0.03823483580600874, 0.03271158352982045, 0.28919323724869117, 0.02180207622388945, 0.886784835609217, 0.9873785512460885]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",1.6403332392373158,0.4245754245754246,0.9594433433113171,0.2137862137862138,False,0.6212537462537463,False,0.3770367563471012
20G07-GAL4,Empty-Gal4,False,[],"[0.7344324040450105, 0.7344324040450105, 0.21228801159979876, 0.7445383571918807, 0.9621482836066155, 0.9621482836066155]","[0.36721620202250527, 0.36721620202250527, 0.035381335266633125, 0.4963589047945871, 0.9621482836066155, 0.9369558676699575]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",1.3522170173184112,0.4915084915084915,0.9643178076055885,0.1938061938061938,False,0.6745530331737228,False,0.3765753477291938
44H11-GAL4,Empty-Gal4,True,['PCA5'],"[0.8031493519417069, 0.25310286428338324, 0.1283799423545613, 0.812432208131742, 0.02275444877887581, 0.1283799423545613]","[0.6692911266180891, 0.16873524285558883, 0.06418997117728065, 0.812432208131742, 0.003792408129812635, 0.05976860866093005]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",3.009891063933795,0.06893106893106893,1.3657155814910331,0.004995004995004995,False,0.37073737073737073,True,0.047333618762190194
KC-γd-GaL4,Empty-Split,False,[],"[0.9164939141562914, 0.7445060814201021, 0.8375048062622675, 0.8375048062622675, 0.9873785512460885, 0.7445060814201021]","[0.7637449284635762, 0.2481686938067007, 0.4963589047945871, 0.5583365375081784, 0.9873785512460885, 0.14123841781192514]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",0.5278548119136485,0.8801198801198801,0.8085287143259245,0.46253746253746253,False,0.8981736212505442,False,0.5825630066136395
MBON-11-GaL4 (MBON-γ1pedc>α/β),Empty-Split,False,[],"[0.3619915912739052, 0.24941596557245493, 0.24941596557245493, 0.24970097013439357, 0.8819307212779461, 0.8819307212779461]","[0.24132772751593679, 0.04237662250330112, 0.08313865519081831, 0.12485048506719679, 0.8819307212779461, 0.753865329868274]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",3.441487415762693,0.12387612387612387,0.9553848844799046,0.22777222777222778,False,0.4560733384262796,False,0.38412435022604513
LPLC2,Empty-Split,False,[],"[0.7637449284635762, 0.7637449284635762, 0.7637449284635762, 0.7637449284635762, 0.7637449284635762, 0.7637449284635762]","[0.7637449284635762, 0.7159745798891979, 0.26136517590616637, 0.35064512183188634, 0.692486835516168, 0.537265926636113]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",1.6769150089292362,0.28471528471528473,1.041570917306106,0.12187812187812187,False,0.497002997002997,False,0.29221381028609944
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,False,[],"[0.6559104900442466, 0.6559104900442466, 0.18379133158822733, 0.6559104900442466, 0.6559104900442466, 0.6559104900442466]","[0.22832704879820187, 0.5860416230076372, 0.030631888598037886, 0.45771743442744617, 0.39999766066623765, 0.6559104900442466]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",2.121300495706395,0.17082917082917082,1.2685888031683024,0.012987012987012988,False,0.4560733384262796,False,0.08614718614718617
SS02255-GAL4 (P-F2N3 (target FSB)),Empty-Split,False,[],"[0.19256991353184194, 0.07136501900044703, 0.7344324040450105, 0.9873785512460885, 0.7749038733555652, 0.7756880868186102]","[0.06418997117728065, 0.011894169833407837, 0.36721620202250527, 0.9873785512460885, 0.5166025822370435, 0.6464067390155086]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",0.6828672628603051,0.7802197802197802,0.9811082902738864,0.16983016983016982,False,0.8258709375730653,False,0.3595340829383383
