genotype,name
M6,Wild-type(Canton-S)
M7,Wild-type(PR)
PR,Wild-type(PR)
TNTxDDC,DDC-2
TNTxEPG,E-PG
TNTxG100,MBON-α′3ap_α2sc
TNTxG101,KC-α-βp
TNTxG53,JON
TNTxG54,fchOn
TNTxG55,LC4
TNTxG56,LC6
TNTxG57,LC9
TNTxG58,LC10ad
TNTxG59,LC10bc
TNTxG60,LC11
TNTxG61,LC12
TNTxG62,LC13
TNTxG63,LC15
TNTxG64,LC16-1
TNTxG65,LC16-2
TNTxG66,LC20
TNTxG67,LC21
TNTxG68,LC22
TNTxG69,LC24
TNTxG70,LC25
TNTxG71,LC26
TNTxG72,LPLC2
TNTxG74,PN-72D07
TNTxG75,PN-44H11
TNTxG76,PN-20G07
TNTxG77,PN-19H07
TNTxG78,KC-α-βc
TNTxG79,KC-γd
TNTxG80,MBON 11
TNTxG81,KC-γmain
TNTxG82,KC-α-βs
TNTxG83,MBON-γ5β′2a
TNTxG84,MBON-β′1
TNTxG85,MBON-γ2α′1
TNTxG86,MBON-α3
TNTxG87,MBON-γ3_MBON-γ3β′1
TNTxG88,MBON-β′2mp_bilateral
TNTxG89,MBON-α′2
TNTxG90,MBON-α′3ap_α′3m
TNTxG91,MBON-β′2mp
TNTxG92,MBON-calyx
TNTxG93,MBON-α1
TNTxG94,KC-α'-β'm
TNTxG95,MBON-γ4toγ1γ2_MBON-β1toα
TNTxG96,MBON-α′1
TNTxG97,MBON-β2β′2a
TNTxG98,KC-α′-β′ap
TNTxG99,MBON-α2p3p
TNTxLAL1,SS32230(LAL-1)
TNTxLAL2,SS32219(LAL-2)
TNTxM6,TNT×Canton-S
TNTxM7,TNT×PR
TNTxMB247,MB247-2
TNTxPLE,TH
TNTxTH,TH-2
TNTxZ1633,OK107
TNTxZ1636,DDC-Gal4
TNTxZ1638,C739
TNTxZ1640,TH-Gal4
TNTxZ1642,GR63a-mutant
TNTxZ1643,GR63a
TNTxZ1644,OR47b
TNTxZ1646,OR67d
TNTxZ1647,ORCO-mutant
TNTxZ1648,OR88a
TNTxZ1649,ORCO
TNTxZ1650,NPF-2
TNTxZ1651,NPF-1
TNTxZ1654,GH146
TNTxZ1659,MZ19
TNTxZ1661,DDC
TNTxZ1664,IR25a
TNTxZ1665,IR8a
TNTxZ1666,IR25a-mutant
TNTxZ1667,IR8a-mutant
TNTxZ1676,MB247
