line,split
M7,m
TNTxZ2018,n
TNTxZ2035,y
TNTxM6,m
TNTxM7,m
M6,m
PR,m
TNTxZ1661,n
TNTxZ1711,y
TNTxZ1712,y
TNTxZ1973,n
TNTxZ1974,n
TNTxZ1975,n
TNTxZ1979,n
TNTxZ1980,n
TNTxZ1981,n
TNTxZ1982,n
TNTxZ1983,n
TNTxZ1984,n
TNTxZ1985,n
TNTxZ1987,n
TNTxZ1988,n
TNTxZ1990,n
TNTxZ1991,n
TNTxZ1993,n
TNTxZ2025,y
TNTxZ2026,y
TNTxZ2029,y
TNTxZ2030,y
TNTxZ2036,y
TNTxZ2037,y
TNTxZ2038,y
TNTxZ2039,y
TNTxZ2040,y
TNTxZ2041,y
TNTxLAL2,y
TNTxLAL1,y
TNTxEPG,n
TNTxZ1899,y
TNTxZ1900,y
TNTxG54,n
TNTxG53,n
TNTxZ1893,y
TNTxZ1894,y
TNTxZ1895,y
TNTxZ1896,y
TNTxZ1897,y
TNTxZ1898,y
TNTxZ1723,y
TNTxZ1740,y
TNTxZ1810,y
TNTxZ1821,y
TNTxZ1841,y
TNTxZ1843,y
TNTxZ1845,y
TNTxZ1846,y
TNTxZ1847,y
TNTxZ1848,y
TNTxZ1849,y
TNTxZ1850,y
TNTxZ1851,y
TNTxZ1873,y
TNTxZ1874,y
TNTxZ1875,y
TNTxZ1876,y
TNTxZ1877,y
TNTxZ1878,y
TNTxZ1879,y
TNTxZ1880,y
TNTxZ1881,y
TNTxZ1882,y
TNTxZ1883,y
TNTxZ1884,y
TNTxZ1886,y
TNTxZ1887,y
TNTxZ1888,y
TNTxZ1889,y
TNTxZ1890,y
TNTxZ1891,y
TNTxZ1892,y
TNTxZ1852,y
TNTxZ1854,y
TNTxZ1855,y
TNTxZ1856,y
TNTxZ1857,y
TNTxZ1858,y
TNTxZ1859,y
TNTxZ1860,y
TNTxZ1861,y
TNTxZ1862,y
TNTxZ1863,y
TNTxZ1865,y
TNTxZ1866,y
TNTxZ1867,y
TNTxZ1868,y
TNTxZ1869,y
TNTxZ1870,y
TNTxZ1871,y
TNTxZ1872,y
TNTxG78,y
TNTxG79,y
TNTxG80,y
TNTxG81,y
TNTxG82,y
TNTxG83,y
TNTxG84,y
TNTxG85,y
TNTxG86,y
TNTxG87,y
TNTxG88,y
TNTxG89,y
TNTxG90,y
TNTxG91,y
TNTxG92,y
TNTxG93,y
TNTxG94,y
TNTxG95,y
TNTxG96,y
TNTxG97,y
TNTxG98,y
TNTxG99,y
TNTxG100,y
TNTxG101,y
TNTxZ1633,n
TNTxZ1638,n
TNTxZ1676,n
TNTxMB247,n
TNTxZ1636,n
TNTxZ1640,n
TNTxZ1972,n
TNTxZ1978,n
TNTxZ1994,n
TNTxZ1995,y
TNTxZ1996,y
TNTxZ1997,y
TNTxZ1998,y
TNTxZ1999,y
TNTxZ2000,y
TNTxZ2001,y
TNTxZ2002,y
TNTxZ2003,y
TNTxZ2004,y
TNTxZ2005,y
TNTxZ2006,y
TNTxZ2007,y
TNTxZ2008,y
TNTxZ2009,y
TNTxZ2010,y
TNTxZ2011,y
TNTxZ2012,y
TNTxZ2013,y
TNTxZ2014,y
TNTxZ2015,y
TNTxZ2016,y
TNTxZ2017,y
TNTxZ2027,y
TNTxZ2042,n
TNTxZ2043,n
TNTxDDC,n
TNTxPLE,n
TNTxTH,n
TNTxZ1698,n
TNTxZ1699,n
TNTxZ1700,n
TNTxZ1701,n
TNTxZ1702,n
TNTxZ1703,n
TNTxZ1678,n
TNTxZ1679,n
TNTxZ1680,n
TNTxZ1681,n
TNTxZ1682,n
TNTxZ1683,n
TNTxZ1684,n
TNTxZ1685,n
TNTxZ1686,n
TNTxZ1687,n
TNTxZ1688,n
TNTxZ1689,n
TNTxZ1690,n
TNTxZ1691,n
TNTxZ1692,n
TNTxZ1693,n
TNTxZ1694,n
TNTxZ1695,n
TNTxZ1696,n
TNTxZ1697,n
TNTxZ1650,n
TNTxZ1651,n
TNTxZ1642,m
TNTxZ1643,n
TNTxZ1644,n
TNTxZ1646,n
TNTxZ1647,m
TNTxZ1648,n
TNTxZ1649,n
TNTxZ1654,n
TNTxZ1659,n
TNTxZ1664,n
TNTxZ1665,n
TNTxZ1666,m
TNTxZ1667,m
TNTxZ1677,m
TNTxG55,y
TNTxG56,y
TNTxG57,y
TNTxG58,y
TNTxG59,y
TNTxG60,y
TNTxG61,y
TNTxG62,y
TNTxG63,y
TNTxG64,y
TNTxG65,y
TNTxG66,y
TNTxG67,y
TNTxG68,y
TNTxG69,y
TNTxG70,y
TNTxG71,y
TNTxG72,y
TNTxG74,n
TNTxG75,n
TNTxG76,n
TNTxG77,n
